አፍሪቃ	非洲
1706 እ.ኤ.አ.	1706年
1628 እ.ኤ.አ.	1628年
1707 እ.ኤ.አ.	1707年
1708 እ.ኤ.አ.	1708年
1629 እ.ኤ.አ.	1629年
1630 እ.ኤ.አ.	1630年
1709 እ.ኤ.አ.	1709年
1631 እ.ኤ.አ.	1631年
1710 እ.ኤ.አ.	1710年
1632 እ.ኤ.አ.	1632年
1711 እ.ኤ.አ.	1711年
1633 እ.ኤ.አ.	1633年
1712 እ.ኤ.አ.	1712年
1634 እ.ኤ.አ.	1634年
1713 እ.ኤ.አ.	1713年
1800 እ.ኤ.አ.	1800年
1801 እ.ኤ.አ.	1801年
1714 እ.ኤ.አ.	1714年
1635 እ.ኤ.አ.	1635年
1802 እ.ኤ.አ.	1802年
1715 እ.ኤ.አ.	1715年
1636 እ.ኤ.አ.	1636年
1803 እ.ኤ.አ.	1803年
1637 እ.ኤ.አ.	1637年
1716 እ.ኤ.አ.	1716年
1638 እ.ኤ.አ.	1638年
1804 እ.ኤ.አ.	1804年
1717 እ.ኤ.አ.	1717年
1639 እ.ኤ.አ.	1639年
1805 እ.ኤ.አ.	1805年
1718 እ.ኤ.አ.	1718年
1640 እ.ኤ.አ.	1640年
1719 እ.ኤ.አ.	1719年
1806 እ.ኤ.አ.	1806年
1641 እ.ኤ.አ.	1641年
1720 እ.ኤ.አ.	1720年
1807 እ.ኤ.አ.	1807年
1642 እ.ኤ.አ.	1642年
1721 እ.ኤ.አ.	1721年
1808 እ.ኤ.አ.	1808年
1643 እ.ኤ.አ.	1643年
1722 እ.ኤ.አ.	1722年
1809 እ.ኤ.አ.	1809年
1644 እ.ኤ.አ.	1644年
1723 እ.ኤ.አ.	1723年
1810 እ.ኤ.አ.	1810年
1645 እ.ኤ.አ.	1645年
1724 እ.ኤ.አ.	1724年
20ኛው ምዕተ ዓመት	20世纪
1811 እ.ኤ.አ.	1811年
1646 እ.ኤ.አ.	1646年
1725 እ.ኤ.አ.	1725年
1812 እ.ኤ.አ.	1812年
1647 እ.ኤ.አ.	1647年
1726 እ.ኤ.አ.	1726年
1813 እ.ኤ.አ.	1813年
21ኛው ምዕተ ዓመት	21世纪
1648 እ.ኤ.አ.	1648年
1727 እ.ኤ.አ.	1727年
1814 እ.ኤ.አ.	1814年
1649 እ.ኤ.አ.	1649年
1728 እ.ኤ.አ.	1728年
1815 እ.ኤ.አ.	1815年
1650 እ.ኤ.አ.	1650年
1729 እ.ኤ.አ.	1729年
1816 እ.ኤ.አ.	1816年
19ኛው ምዕተ ዓመት	19世纪
1651 እ.ኤ.አ.	1651年
1730 እ.ኤ.አ.	1730年
1817 እ.ኤ.አ.	1817年
1652 እ.ኤ.አ.	1652年
1731 እ.ኤ.አ.	1731年
1818 እ.ኤ.አ.	1818年
1653 እ.ኤ.አ.	1653年
1732 እ.ኤ.አ.	1732年
1819 እ.ኤ.አ.	1819年
1654 እ.ኤ.አ.	1654年
1733 እ.ኤ.አ.	1733年
1820 እ.ኤ.አ.	1820年
1655 እ.ኤ.አ.	1655年
1821 እ.ኤ.አ.	1821年
1734 እ.ኤ.አ.	1734年
1656 እ.ኤ.አ.	1656年
1822 እ.ኤ.አ.	1822年
1735 እ.ኤ.አ.	1735年
1657 እ.ኤ.አ.	1657年
1823 እ.ኤ.አ.	1823年
1736 እ.ኤ.አ.	1736年
1658 እ.ኤ.አ.	1658年
1737 እ.ኤ.አ.	1737年
1824 እ.ኤ.አ.	1824年
1659 እ.ኤ.አ.	1659年
1738 እ.ኤ.አ.	1738年
1825 እ.ኤ.አ.	1825年
1660 እ.ኤ.አ.	1660年
1739 እ.ኤ.አ.	1739年
1826 እ.ኤ.አ.	1826年
1661 እ.ኤ.አ.	1661年
1740 እ.ኤ.አ.	1740年
1827 እ.ኤ.አ.	1827年
18ኛው ምዕተ ዓመት	18世纪
17ኛው ምዕተ ዓመት	17世纪
16ኛው ምዕተ ዓመት	16世纪
15ኛው ምዕተ ዓመት	15世纪
ካታላንኛ	加泰罗尼亚语
ስትራውቢንግ	施特劳宾
14ኛው ምዕተ ዓመት	14世纪
13ኛው ምዕተ ዓመት	13世纪
12ኛው ምዕተ ዓመት	12世纪
11ኛው ምዕተ ዓመት	11世纪
ቤተ መጻሕፍት	图书馆
ባርሴሎና እግር ኳስ ክለብ	巴塞罗那足球俱乐部
ፖለቲካ	政治
ወግ አጥባቂነት	保守主义
ዴሞክራሲ	民主
ናጊብ ማህፉዝ	納吉布·馬哈福茲
ማሪ ኩሪ	玛丽·居里
መንግሥት	政府
ጪን ሽኋንግ	秦始皇
ኦቪድ	奧維德
አሌክሳንደር ፑሽኪን	亚历山大·谢尔盖耶维奇·普希金
ራቢንድራናት ታጎር	罗宾德拉纳特·泰戈尔
ሊዮ ቶልስቶይ	列夫·托爾斯泰
ማርክ ትዌይን	马克·吐温
ኪሊማንጃሮ	乞力马扎罗山
ክሪስቶፎር ኮሎምበስ	克里斯托弗·哥伦布
ዩሪ ጋጋሪን	尤里·阿列克谢耶维奇·加加林
ቫስኮ ደጋማ	瓦斯科·達伽馬
ደቡባዊ ውቅያኖስ	南冰洋
ቢጫው ወንዝ	黄河
ጆሮ	耳
አፍንጫ	鼻
አይን (ሥነ አካል)	眼
ጡንቻ	肌肉
ትንኝ	蚊
በግ	綿羊
ግመል	骆驼
ጡት አጥቢ	哺乳动物
ጉንዳን	蚂蚁
ንብ	蜂族
ሆላንድኛ	荷蘭語
ማርጋሬት ታቸር	玛格丽特·撒切尔
ዲ ኤን ኤ	脱氧核糖核酸
አበባ ጎመን	花椰菜
1828 እ.ኤ.አ.	1828年
1829 እ.ኤ.አ.	1829年
1741 እ.ኤ.አ.	1741年
1662 እ.ኤ.አ.	1662年
1742 እ.ኤ.አ.	1742年
1830 እ.ኤ.አ.	1830年
1663 እ.ኤ.አ.	1663年
1831 እ.ኤ.አ.	1831年
1743 እ.ኤ.አ.	1743年
1664 እ.ኤ.አ.	1664年
1665 እ.ኤ.አ.	1665年
1744 እ.ኤ.አ.	1744年
1832 እ.ኤ.አ.	1832年
1666 እ.ኤ.አ.	1666年
1745 እ.ኤ.አ.	1745年
1833 እ.ኤ.አ.	1833年
1667 እ.ኤ.አ.	1667年
1746 እ.ኤ.አ.	1746年
ማጓጓዝ	运输
1834 እ.ኤ.አ.	1834年
1668 እ.ኤ.አ.	1668年
1747 እ.ኤ.አ.	1747年
1835 እ.ኤ.አ.	1835年
1748 እ.ኤ.አ.	1748年
1836 እ.ኤ.አ.	1836年
1669 እ.ኤ.አ.	1669年
ሌዮናርድ ኦይለር	萊昂哈德·歐拉
1670 እ.ኤ.አ.	1670年
1749 እ.ኤ.አ.	1749年
1837 እ.ኤ.አ.	1837年
1671 እ.ኤ.አ.	1671年
1750 እ.ኤ.አ.	1750年
1838 እ.ኤ.አ.	1838年
1672 እ.ኤ.አ.	1672年
1751 እ.ኤ.አ.	1751年
1839 እ.ኤ.አ.	1839年
1673 እ.ኤ.አ.	1673年
1752 እ.ኤ.አ.	1752年
1840 እ.ኤ.አ.	1840年
1674 እ.ኤ.አ.	1674年
1753 እ.ኤ.አ.	1753年
1841 እ.ኤ.አ.	1841年
1754 እ.ኤ.አ.	1754年
1675 እ.ኤ.አ.	1675年
1842 እ.ኤ.አ.	1842年
1755 እ.ኤ.አ.	1755年
1676 እ.ኤ.አ.	1676年
1843 እ.ኤ.አ.	1843年
1677 እ.ኤ.አ.	1677年
1756 እ.ኤ.አ.	1756年
1844 እ.ኤ.አ.	1844年
1678 እ.ኤ.አ.	1678年
1757 እ.ኤ.አ.	1757年
1845 እ.ኤ.አ.	1845年
1679 እ.ኤ.አ.	1679年
1758 እ.ኤ.አ.	1758年
1846 እ.ኤ.አ.	1846年
1680 እ.ኤ.አ.	1680年
1759 እ.ኤ.አ.	1759年
1847 እ.ኤ.አ.	1847年
1681 እ.ኤ.አ.	1681年
1760 እ.ኤ.አ.	1760年
1848 እ.ኤ.አ.	1848年
1682 እ.ኤ.አ.	1682年
1761 እ.ኤ.አ.	1761年
1849 እ.ኤ.አ.	1849年
1683 እ.ኤ.አ.	1683年
1762 እ.ኤ.አ.	1762年
1850 እ.ኤ.አ.	1850年
1684 እ.ኤ.አ.	1684年
1763 እ.ኤ.አ.	1763年
1851 እ.ኤ.አ.	1851年
1764 እ.ኤ.አ.	1764年
1685 እ.ኤ.አ.	1685年
1852 እ.ኤ.አ.	1852年
1686 እ.ኤ.አ.	1686年
1765 እ.ኤ.አ.	1765年
1853 እ.ኤ.አ.	1853年
1687 እ.ኤ.አ.	1687年
1766 እ.ኤ.አ.	1766年
1854 እ.ኤ.አ.	1854年
1688 እ.ኤ.አ.	1688年
1767 እ.ኤ.አ.	1767年
1855 እ.ኤ.አ.	1855年
1689 እ.ኤ.አ.	1689年
1768 እ.ኤ.አ.	1768年
1856 እ.ኤ.አ.	1856年
1690 እ.ኤ.አ.	1690年
1769 እ.ኤ.አ.	1769年
1857 እ.ኤ.አ.	1857年
1691 እ.ኤ.አ.	1691年
1770 እ.ኤ.አ.	1770年
1858 እ.ኤ.አ.	1858年
1692 እ.ኤ.አ.	1692年
1771 እ.ኤ.አ.	1771年
1859 እ.ኤ.አ.	1859年
1693 እ.ኤ.አ.	1693年
1772 እ.ኤ.አ.	1772年
1860 እ.ኤ.አ.	1860年
1773 እ.ኤ.አ.	1773年
1861 እ.ኤ.አ.	1861年
1694 እ.ኤ.አ.	1694年
1695 እ.ኤ.አ.	1695年
1774 እ.ኤ.አ.	1774年
1862 እ.ኤ.አ.	1862年
1696 እ.ኤ.አ.	1696年
1775 እ.ኤ.አ.	1775年
1863 እ.ኤ.አ.	1863年
1697 እ.ኤ.አ.	1697年
1776 እ.ኤ.አ.	1776年
1864 እ.ኤ.አ.	1864年
1698 እ.ኤ.አ.	1698年
1865 እ.ኤ.አ.	1865年
1777 እ.ኤ.አ.	1777年
1699 እ.ኤ.አ.	1699年
1866 እ.ኤ.አ.	1866年
1778 እ.ኤ.አ.	1778年
1779 እ.ኤ.አ.	1779年
1867 እ.ኤ.አ.	1867年
1780 እ.ኤ.አ.	1780年
1868 እ.ኤ.አ.	1868年
1781 እ.ኤ.አ.	1781年
1869 እ.ኤ.አ.	1869年
ናፖሌኦን 3ኛ	拿破仑三世
መስኮብኛ	俄语
1782 እ.ኤ.አ.	1782年
1870 እ.ኤ.አ.	1870年
1783 እ.ኤ.አ.	1783年
1871 እ.ኤ.አ.	1871年
ቭላዲሚር ፑቲን	弗拉基米尔·弗拉基米罗维奇·普京
ሕግ	法律
1784 እ.ኤ.አ.	1784年
1872 እ.ኤ.አ.	1872年
ሕገ መንግሥት	宪法
1785 እ.ኤ.አ.	1785年
1873 እ.ኤ.አ.	1873年
1786 እ.ኤ.አ.	1786年
1874 እ.ኤ.አ.	1874年
1787 እ.ኤ.አ.	1787年
1875 እ.ኤ.አ.	1875年
1788 እ.ኤ.አ.	1788年
1876 እ.ኤ.አ.	1876年
1789 እ.ኤ.አ.	1789年
1877 እ.ኤ.አ.	1877年
1790 እ.ኤ.አ.	1790年
1878 እ.ኤ.አ.	1878年
1879 እ.ኤ.አ.	1879年
1791 እ.ኤ.አ.	1791年
1792 እ.ኤ.አ.	1792年
1880 እ.ኤ.አ.	1880年
1793 እ.ኤ.አ.	1793年
1881 እ.ኤ.አ.	1881年
1794 እ.ኤ.አ.	1794年
1882 እ.ኤ.አ.	1882年
«የሰብዓዊ መብት አቀፋዊ መግለጽ»	世界人权宣言
1795 እ.ኤ.አ.	1795年
1883 እ.ኤ.አ.	1883年
1796 እ.ኤ.አ.	1796年
1884 እ.ኤ.አ.	1884年
1797 እ.ኤ.አ.	1797年
1885 እ.ኤ.አ.	1885年
1886 እ.ኤ.አ.	1886年
1798 እ.ኤ.አ.	1798年
1887 እ.ኤ.አ.	1887年
1799 እ.ኤ.አ.	1799年
1888 እ.ኤ.አ.	1888年
1889 እ.ኤ.አ.	1889年
1890 እ.ኤ.አ.	1890年
1891 እ.ኤ.አ.	1891年
ስዋሂሊ	斯瓦希里语
1892 እ.ኤ.አ.	1892年
1893 እ.ኤ.አ.	1893年
1894 እ.ኤ.አ.	1894年
1895 እ.ኤ.አ.	1895年
1896 እ.ኤ.አ.	1896年
1897 እ.ኤ.አ.	1897年
1898 እ.ኤ.አ.	1898年
ቻይንኛ	汉语
1899 እ.ኤ.አ.	1899年
ህዋስ	细胞
ደም	血液
ቱሉዝ	圖盧茲
ሳምባ	肺
ሩማንኛ	羅馬尼亞語
ቡልጋርኛ	保加利亚语
ዝናብ	雨
መለጋሲ	马拉加斯语
የዓለም መሞቅ	全球变暖
የመሬት መንቀጥቀጥ	地震
ፍራንክሊን ሮዘቨልት	富兰克林·德拉诺·罗斯福
ኦግስቲን	希波的奥古斯丁
ኔልሰን ማንዴላ	纳尔逊·曼德拉
ዶ/ር ማርቲን ሉጠር ኪንግ	马丁·路德·金
10ኛው ምዕተ ዓመት	10世纪
ጎርፍ	洪灾
እሳተ ገሞራ	火山
ስነ አምክንዮ	逻辑
9ኛው ምዕተ ዓመት	9世纪
ትሪጎኖሜትሪ	三角学
8ኛው ምዕተ ዓመት	8世纪
ጂዎሜትሪ	几何学
7ኛው ምዕተ ዓመት	7世纪
6ኛው ምዕተ ዓመት	6世纪
ሰዋስው	语法
ነፋስ	風
5ኛው ምዕተ ዓመት	5世纪
4ኛው ምዕተ ዓመት	4世纪
3ኛው ምዕተ ዓመት	3世纪
2ኛው ምዕተ ዓመት	2世纪
1ኛው ምዕተ ዓመት	1世纪
ሥነ ንዋይ	经济学
ሙአለ ንዋይ	资本
የቋንቋ ጥናት	语言学
ቃል (የቋንቋ አካል)	單詞
የዓለም ጽሕፈቶች	文字
ዳውጋቫ ወንዝ	道加瓦河
ሥነ ጽሑፍ	文學
መደብ:ፈረንሣይ	Category:法国
መደብ:ሙዚቃ	Category:音乐
መደብ:ሥነ ጽሁፍ	Category:文学
ሃሪ ፖተር (መፅሐፍ)	哈利·波特
ትራምፔት	小號
ክላርኔት	單簧管
አልጎሪዝም	算法
መድኃኒት	药物
ታላቁ እስክንድር	亚历山大大帝
ኅብረተሰብ	社会
ትምህርት	教育
ሁጎ ቻቬዝ	烏戈·查維茲
ቢስማርክ	奥托·冯·俾斯麦
ጋብቻ	婚姻
ሬጂና ካልቾ	雷吉納足球俱樂部
ቡና	咖啡
ወተት	乳
ተራራ	山
አንድሪው ጆንሰን	安德鲁·约翰逊
ክዋሜ ንክሩማህ	夸梅·恩克鲁玛
ዪዲሽኛ	意第緒語
ሆንግ ኮንግ	香港
ማያሚ	迈阿密
ከራቺ	卡拉奇
የኮርያ ጦርነት	朝鲜战争
ሌጎስ	拉哥斯
ሪዮ ዴ ጃኔይሮ	里约热内卢
ሶል	首爾
ሻንግሃይ	上海市
አትሌቲኮ ማድሪድ	马德里竞技俱乐部
ዎልት ዲዝኒ	華特·迪士尼
ሰቪያ	塞维利亚
ሜዶን	米底王国
አርኪሜዴስ	阿基米德
የቬትናም ጦርነት	越南战争
ቶማስ ኤዲሶን	爱迪生
ዩክሊድ	欧几里得
ዴፖርቲቮ ዴ ላ ኮሩኛ	拉科鲁尼亚竞技俱乐部
አር.ሲ.ዲ. ኤስፓንዮል	皇家西班牙人體育俱樂部
አርሜንኛ	亚美尼亚语
ዩክሬንኛ	乌克兰语
ግራናዳ	格拉纳达
ሌቫንቴ ዩ.ዲ.	萊萬特足球俱樂部
ማላጋ የእግር ኳስ ክለብ	馬拉加足球俱樂部
ስዊድንኛ	瑞典語
ዳንኛ	丹麦语
ሌብኒትዝ	戈特弗里德·莱布尼茨
ቼክኛ	捷克语
ካርል ማርክስ	卡尔·马克思
ስሎቬንኛ	斯洛文尼亚语
ሀንጋርኛ	匈牙利语
ቮልቴር	伏爾泰
ኤስቶንኛ	爱沙尼亚语
ሙሴ	摩西
ሊትዌንኛ	立陶宛语
የሕንዱ ሃይማኖት	印度教
ቤላሩስኛ	白俄罗斯语
ጡት	乳房
ዲሜትሪ ሜንደሊቭ	德米特里·伊万诺维奇·门捷列夫
ቀነኒሳ በቀለ	克内尼萨·贝耶查
አቶም	原子
ብርሃን	光
ግሪክ (ቋንቋ)	希腊语
አፈ፡ታሪክ	神话
የሲስተም አሰሪ	操作系统
ታጅ ማሃል	泰姬陵
አየርላንድኛ	愛爾蘭語
የፕሮግራም ቋንቋ	编程语言
ነፍስ	灵魂
ማልትኛ	马耳他语
ፋርስኛ	波斯语
ሃይማኖት	宗教
ኮሪይኛ	朝鮮語
አብርሃም	亞伯拉罕
ረኔ ዴካርት	勒内·笛卡儿
ጳውሎስ	保罗 (使徒)
ፍሮይድ	西格蒙德·弗洛伊德
ፍሬዴሪክ ሄግል	格奥尔格·威廉·弗里德里希·黑格尔
ሞንጎልኛ	蒙古语
ባኩ	巴库
ታጂክኛ	塔吉克语
ዑዝበክኛ	乌孜别克语
ቱርክመንኛ	土库曼语
አይሁድና	犹太教
ጢምጱ	廷布
ባንዳር ሰሪ ቤጋዋን	斯里巴加湾市
ዕብራይስጥ	希伯来语
አዘርኛ	阿塞拜疆语
ዌልስኛ	威尔士语
አማኑኤል ካንት	伊曼努尔·康德
የስኮትላንድ ጋይሊክኛ	苏格兰盖尔语
ቭየንትዬን	永珍
ኤክሲሌስ	埃西莱斯
ጆን ሎክ	约翰·洛克
ኒሺ	弗里德里希·尼采
ቢሽኬክ	比什凯克
ዥን-ፖል ሳትራ	让-保罗·萨特
ዱሻንቤ	杜尚别
ጉበት	肝臟
ኩላሊት	腎
ቆለጥ	睾丸
ሉድቪግ ቪትገንስታይን	路德维希·维特根斯坦
የሥነ፡ልቡና ትምህርት	心理学
ውቅያኖስ	洋
ቶማስ አኳይናስ	托马斯·阿奎那
ጎታማ ቡዳ	释迦牟尼
ዳያሌክቲክ	辩证法
መሐመድ	穆罕默德
ዕድል ጥናት	概率
ሞንቴው ዳ ፖ	蒙泰乌达波
የእግር ኳስ ማህበር	英格蘭足球總會
ውኑ	現實
ቢ.ቢ.ሲ.	英国广播公司
ሻህሩኽ ኻን	沙·魯克·罕
ሳልማን ኻን	薩爾曼·汗
ማርቲን ሉጠር	馬丁·路德
ዓሚር ኻን	阿米爾·罕
አሚታብ ባቻን	阿米塔布·巴沙坎
ጄራልድ ፎርድ	杰拉尔德·福特
ሪቻርድ ኒክሰን	理查德·尼克松
በንጋልኛ	孟加拉语
ምላስ	舌
ቼልሲ	切尔西足球俱乐部
አርሰናል የእግር ኳስ ክለብ	阿森纳足球俱乐部
ሥርዓተ አፅም	人體骨架
አፍ	口腔
ሊንደን ጆንሰን	林登·约翰逊
የመገጣጠሚያ አጥንት	关节
ፋልክላንድ ደሴቶች	福克兰群岛
ሥርዓተ ምግብ	消化系统
A	A
ንግሥት ኤልሣቤጥ (ዳግማዊት)	伊丽莎白二世
ጆን ኤፍ ኬኔዲ	约翰·肯尼迪
B	B
G	G
F	F
ሬጌ	雷鬼音樂
ሳክሶፎን	薩克斯風
C	C
D	D
E	E
H	H
ድዋይት አይዘንሃወር	德怀特·艾森豪威尔
ሮናልድ ሬገን	罗纳德·里根
ዛዛኪኛ	扎扎其語
ፓይታጎረስ	毕达哥拉斯
ራዮ ቫዬካኖ	巴列卡诺足球俱乐部
ሪያል ሶሲየዳድ	皇家蘇斯達
ሰቪያ እግር ኳስ ክለብ	塞維利亞足球俱樂部
ቫለንሲያ እግር ኳስ ክለብ	巴伦西亚足球俱乐部
1100 እ.ኤ.አ.	1100年
የንጥረ ነገሮች ሠንጠረዥ	元素周期表
ጆርጅታውን	乔治敦 (圭亚那)
ርግብ	鸠鸽科
ባክቴሪያ	细菌
ኤብሮ ወንዝ	埃布羅河
ወይን	葡萄
ማር	蜂蜜
ስጋ	肉类食物
ድንች	马铃薯
ሻማ	大豆
ሮቦት	机器人
ቴክኖዎሎጂ	技术
ማሽን	机械
ብሎን	螺絲
መሀንዲስነት	工程学
መገናኛ	通信
ስልክ	电话
አር ኤን ኤ	核糖核酸
ሳንስክሪት	梵语
ሉጎ	卢戈 (西班牙)
የዓለም የህዝብ ብዛት	世界人口
ሕክምና	医学
ሳራዬቮ	塞拉耶佛
ሎጋሪዝም	对数
ሥነ ቁጥር	算术
ዓለም ንግድ ሕንጻ	世界贸易中心
መደብ:ብራዚል	Category:巴西
ንጥረ ነገር	化學元素
አስረካቢ	函数
ፍጥንጥነት	加速度
አቅም	能量
ኤሌክትሮመግነጢስ ጨረራ	电磁波
ጉልበት	力
መግነጢስ መስክ	磁場
ጨዋታዎች	游戏
ግስበት	引力
ጎ	围棋
መግነጢስ	磁鐵
ግዝፈት	质量
ፊልም	电影
ብስክሌት	自行車
የርሻ ተግባር	农业
አጠቃላይ አንጻራዊነት	廣義相對論
ልዩ አንጻራዊነት	狭义相对论
ጥጥ	棉花
ድምጽ	声音
ማረሻ	犁
ፍጥነት	速度
ጊዜ	时间
ወረቀት	纸
ኦና	真空
ቁጥር	数
የአቅጣጫ ቁጥር	复数 (数学)
ሜትር	米 (单位)
ሴኮንድ	秒
በቆሎ	玉米
ገብስ	大麦
ሃሪ ትሩማን	哈里·S·杜鲁门
ስዕል	绘画
ቴያትር	劇場 (藝術)
ዳዮድ	二極管
ዴቪድ ፓተርሶን	大衛·帕特森 (政治人物)
የአሜሪካ ፕሬዚዳንት	美国总统
ዉሃን	武汉市
የአለም አገራት ዝርዝር	世界政區索引
መስጴጦምያ	美索不达米亚
ጥንታዊ ግብፅ	古埃及
ድብ	熊科
ጆን አዳምስ	约翰·亚当斯
ቶማስ ጄፈርሰን	托马斯·杰斐逊
ጄምስ ማዲሰን	詹姆斯·麦迪逊
ጄምስ ሞንሮ	詹姆斯·门罗
ጆን ክዊንሲ አዳምስ	约翰·昆西·亚当斯
አንድሪው ጃክሰን	安德鲁·杰克逊
ማርቲን ቫንቡረን	马丁·范布伦
ዊሊያም ሄንሪ ሀሪሰን	威廉·亨利·哈里森
ጆን ታይለር	约翰·泰勒
ጄምስ ፖልክ	詹姆斯·诺克斯·波尔克
ዛከሪ ቴለር	扎卡里·泰勒
ሄርኩለስ እግር ኳስ ክለብ	靴高斯足球會
ሚራንዳ ዴ ኤብሮ	埃布罗河畔米兰达
ጉግል ዜና	Google新闻
1101 እ.ኤ.አ.	1101年
1102 እ.ኤ.አ.	1102年
ካንሰር	癌症
ኣጃ	燕麦
ስንዴ	小麦
ብረቶንኛ	布列塔尼语
እህል	谷物
ድንቁርና	聾
ጎርጎርያን ካሌንዳር	公历
ሰዓት ክልል	时区
ትምህርተ፡ጤና	健康
ኒሞንያ	肺炎
ኤድስ	艾滋病
መለጠፊያ:Location map ጀርመን	Template:Location map Germany
ስኳር በሽታ	糖尿病
ራሲንግ ዴ ሳንታንደር	桑坦德競技
መለጠፊያ:Location map ስዊድን	Template:Location map Sweden
መለጠፊያ:Location map ፊንላንድ	Template:Location map Finland
ረክሬቲቮ ዴ ሁዌልቫ	韋爾瓦足球俱樂部
መለጠፊያ:Location map ሆላንድ	Template:Location map Netherlands
መለጠፊያ:Location map ፈረንሳይ	Template:Location map France
መለጠፊያ:Location map እስፓንያ	Template:Location map Spain
መለጠፊያ:Location map ፖርቱጋል	Template:Location map Portugal
መለጠፊያ:Location map ጣልያን	Template:Location map Italy
መለጠፊያ:Location map ስዊዘርላንድ	Template:Location map Switzerland
መለጠፊያ:Location map ኦስትሪያ	Template:Location map Austria
ድልድይ	橋
መለጠፊያ:Location map ሀንጋሪ	Template:Location map Hungary
መለጠፊያ:Location map ክሮኤሽያ	Template:Location map Croatia
ቪላሪያል የእግር ኳስ ክለብ	比利亚雷亚尔足球俱乐部
መለጠፊያ:Location map ግሪክ	Template:Location map Greece
መለጠፊያ:Location map ቡልጋሪያ	Template:Location map Bulgaria
ሚላርድ ፊልሞር	米勒德·菲尔莫尔
ፍራንክሊን ፒርስ	富兰克林·皮尔斯
ግድብ	水坝
ጄምስ ቡካነን	詹姆斯·布坎南
መለጠፊያ:Location map ሶርያ	Template:Location map Syria
መለጠፊያ:Location map ዮርዳኖስ	Template:Location map Jordan
መለጠፊያ:Location map ፓኪስታን	Template:Location map Pakistan
መለጠፊያ:Location map ቻይና	Template:Location map China
መለጠፊያ:Location map ቬት ናም	Template:Location map Vietnam
መለጠፊያ:Location map Australia	Template:Location map Australia
መለጠፊያ:Location map ቬኔዝዌላ	Template:Location map Venezuela
ሞና ሊዛ	蒙娜丽莎
ፒሬኔ ተራሮች	比利牛斯山
ዲትሮይት	底特律
ሥነ ስብስብ	集合论
የዝርዝር ሂሳብ (እስታቲስቲክስ)	统计学
1103 እ.ኤ.አ.	1103年
1104 እ.ኤ.አ.	1104年
ሉል	球面
አባሲዶች	阿拔斯王朝
ቢዛንታይን መንግሥት	拜占庭帝国
የኦቶማን መንግሥት	奥斯曼帝国
ቫይኪንግ	維京人
ፖል ዱሜ	保罗·杜美
ማክሲም ጎርኪ	马克西姆·高尔基
ዮሐን ማርቲን ሽላየር	约翰·马丁·施莱尔
ኮረንቲ	電
ሠይፍ	劍
ጠመንጃ	枪械
ፓውሎ ኮሄሎ	保羅·科爾賀
ፔሌ	比利
ማጁሮ	馬久羅
የቤልጅግ ሰንደቅ ዓላማ	比利时国旗
ሩማን	石榴
ብርቱካን (ፍሬ)	橙
ሮማንሽ	罗曼什语
ኡድሙርትኛ	乌德穆尔特语
ላይኛ ሶርብኛ	上索布语
ኡይጉርኛ	维吾尔语
ሶማልኛ	索馬里語
ናዋትል	納瓦特爾語
ናውሩኛ	瑙鲁语
ራቬና	拉文納
ዴቢት ካርድ	借记卡
መለጠፊያ:Location map ሜክሲኮ	Template:Location map Mexico
መለጠፊያ:Location map Earth	Template:Location map Earth
ቲቤር ወንዝ	台伯河
1105 እ.ኤ.አ.	1105年
ዓረብኛ	阿拉伯语
ቺምቦራዞ	钦博拉索山
ኦክሲታንኛ	奥克语
አፍሪካንስ	南非語
ጠቅላይ ሚኒስትር	总理
ታገስ ወንዝ	塔霍河
ጓዳልኪቪር ወንዝ	瓜达尔基维尔河
ዘ ደይ አፍተር ቱሞሮ (ፊልም)	明日之後
ሜሪዳ፣ እስፓንያ	梅里達 (西班牙)
ሳቫ ወንዝ	薩瓦河
ስኮትኛ	低地蘇格蘭語
ብሄራዊ አርማ	紋章
ሰንደቅ ዓላማ	旗幟
ማካው	澳門
መለጠፊያ:Location map ሞሮኮ	Template:Location map Morocco
መለጠፊያ:Location map ምዕራባዊ ሣህራ	Template:Location map Western Sahara
መለጠፊያ:Location map አልጄሪያ	Template:Location map Algeria
መለጠፊያ:Location map ቱኒዚያ	Template:Location map Tunisia
መለጠፊያ:Location map ሊቢያ	Template:Location map Libya
መለጠፊያ:Location map ግብፅ	Template:Location map Egypt
መለጠፊያ:Location map ሞሪታኒያ	Template:Location map Mauritania
መለጠፊያ:Location map ማሊ	Template:Location map Mali
መለጠፊያ:Location map ኒጄር	Template:Location map Niger
መለጠፊያ:Location map ቻድ	Template:Location map Chad
መለጠፊያ:Location map ሱዳን	Template:Location map Sudan
መለጠፊያ:Location map ኤርትራ	Template:Location map Eritrea
መለጠፊያ:Location map ኢትዮጵያ	Template:Location map Ethiopia
መለጠፊያ:Location map ጅቡቲ	Template:Location map Djibouti
መለጠፊያ:Location map ሶማሊያ	Template:Location map Somalia
መለጠፊያ:Location map ኬፕ ቨርድ	Template:Location map Cape Verde
መለጠፊያ:Location map ሴኔጋል	Template:Location map Senegal
መለጠፊያ:Location map ጋምቢያ	Template:Location map Gambia
መለጠፊያ:Location map ጊኔ-ቢሳው	Template:Location map Guinea-Bissau
መለጠፊያ:Location map ጊኔ	Template:Location map Guinea
መለጠፊያ:Location map ሴየራ ሌዎን	Template:Location map Sierra Leone
መለጠፊያ:Location map ላይቤሪያ	Template:Location map Liberia
