ʻApelika	非洲
Almenar de Soria	阿尔梅纳尔德索里亚
Maján	马汉 (索里亚省)
Coscurita	科斯库里塔
Barcones	巴尔科内斯
Castilfrío de la Sierra	卡斯蒂尔夫里奥德拉谢拉
Castilruiz	卡斯蒂尔鲁伊斯
Miño de Medinaceli	米尼奥德梅迪纳塞利
Vinuesa	比努埃萨
Cigudosa	西古多萨
Candilichera	坎迪利切拉
Ausejo de la Sierra	奥塞霍德拉谢拉
Carabantes	卡拉万特斯
Soliedra	索列德拉
Taroda	塔罗达
Nepas	内帕斯
Valtajeros	巴尔塔赫罗斯
Arévalo de la Sierra	阿雷瓦洛德拉谢拉
Pozalmuro	波萨尔穆罗
Cabrejas del Pinar	卡夫雷哈斯德尔皮纳尔
Villasayas	比利亚赛阿斯
Cubilla	库维利亚
Castillejo de Robledo	卡斯蒂列霍德罗夫莱多
Escobosa de Almazán	埃斯科沃萨德亚尔马桑
Estepa de San Juan	埃斯特帕德圣胡安
Carrascosa de la Sierra	卡拉斯科萨德拉谢拉
Las Aldehuelas	拉萨尔德韦拉斯
Bayubas de Arriba	上巴尤瓦斯
Borobia	博罗维亚
Bliecos	布列科斯
Buberos	布韦罗斯
Muriel Viejo	穆列尔维耶霍
Oncala	翁卡拉
Fuentecambrón	丰特坎夫龙
Cabrejas del Campo	卡夫雷哈斯德尔坎波
Frechilla de Almazán	弗雷奇利亚德亚尔马桑
Valdelagua del Cerro	巴尔德拉瓜德尔塞罗
Ciria	西里亚
Buitrago	布伊特拉戈
Talveila	塔尔韦拉
Salduero	萨尔杜埃罗
Fuentes de Magaña	丰特斯德马加尼亚
Viana de Duero	比亚纳德杜埃罗
Tardelcuende	塔尔德尔昆德
Duruelo de la Sierra	杜鲁埃洛德拉谢拉
Bayubas de Abajo	下巴尤瓦斯
Fuentearmegil	丰特亚尔梅希尔
Fuentelmonge	丰特尔蒙赫
Rollamienta	罗利亚缅塔
Villar del Ala	比利亚尔德拉拉
Velilla de los Ajos	贝利利亚德洛萨霍斯
Momblona	蒙夫洛纳
Fresno de Caracena	弗雷斯诺德卡拉塞纳
Valdegeña	巴尔德赫尼亚
Velamazán	贝拉马桑
Torlengua	托尔伦瓜
Fuentecantos	丰特坎托斯
Carrascosa de Abajo	下卡拉斯科萨
Pinilla del Campo	皮尼利亚德尔坎波
Serón de Nágima	塞龙德纳希马
Blacos	布拉科斯
Valdeavellano de Tera	巴尔德亚韦利亚诺德特拉
Narros	纳罗斯
Valdeprado	巴尔德普拉多
Borjabad	博尔哈瓦德
Fuentelsaz de Soria	丰特尔萨斯德索里亚
San Leonardo de Yagüe	圣莱奥纳尔多德阿格
Muriel de la Fuente	穆列尔德拉丰特
Villar del Río	比利亚尔德尔里奥
Valderrodilla	巴尔德罗迪利亚
Espejón	埃斯佩洪
Liceras	利塞拉斯
Matalebreras	马塔莱夫雷拉斯
Quintana Redonda	金塔纳雷东达
Nafría de Ucero	纳夫里亚德乌塞罗
Sotillo del Rincón	索蒂略德尔林孔
Torrubia de Soria	托鲁维亚德索里亚
Noviercas	诺维耶尔卡斯
Tajueco	塔胡埃科
Valdenebro	巴尔德内夫罗
Villaciervos	比利亚希耶尔沃斯
Villanueva de Gormaz	戈尔马斯新镇
Yelo	耶洛
Montenegro de Cameros	蒙特内格罗德卡梅罗斯
Ucero	乌塞罗
Langa de Duero	兰加德杜埃罗
Quiñonería	基尼奥内里亚
Villar del Campo	比利亚尔德尔坎波
Portillo de Soria	波尔蒂略德索里亚
Gormaz	戈尔马斯
Santa Cruz de Yanguas	圣克鲁斯德安瓜斯
Villaseca de Arciel	比利亚塞卡德亚尔希耶尔
Reznos	雷斯诺斯
Cueva de Ágreda	库埃瓦德亚格雷达
Nolay	诺莱 (索里亚省)
Cirujales del Río	西鲁哈莱斯德尔里奥
Caracena	卡拉塞纳
Cubo de la Solana	库沃德拉索拉纳
Miño de San Esteban	米尼奥德圣埃斯特万
Fuentestrún	丰特斯特伦
Espeja de San Marcelino	埃斯佩哈德圣马尔塞利诺
Matamala de Almazán	马塔马拉德亚尔马桑
La Póveda de Soria	拉波韦达德索里亚
Los Rábanos	洛斯拉瓦诺斯
Quintanas de Gormaz	金塔纳斯德戈尔马斯
Santa María de Huerta	圣马里亚德韦尔塔
San Pedro Manrique	圣佩德罗曼里克
Velilla de la Sierra	贝利利亚德拉谢拉
Valdemaluque	巴尔德马卢克
San Felices	圣费利塞斯
Renieblas	雷涅夫拉斯
Toro (Zamora)	托罗 (萨莫拉省)
Morón de Almazán	莫龙德亚尔马桑
Los Villares de Soria	洛斯维利亚雷斯德索里亚
Torreblacos	托雷夫拉科斯
Vizmanos	比斯马诺斯
Tejado	特哈多
Retortillo de Soria	雷托尔蒂略德索里亚
Herrera de Soria	埃雷拉德索里亚
Deza	德萨
Monteagudo de las Vicarías	蒙特亚古多德拉斯维卡里亚斯
La Riba de Escalote	拉里瓦德埃斯卡洛特
Montejo de Tiermes	蒙特霍德铁尔梅斯
La Losilla	拉洛西利亚
Recuerda	雷库埃尔达
Tajahuerce	塔哈韦尔塞
Santa María de las Hoyas	圣马里亚德拉斯奥亚斯
Fuentepinilla	丰特皮尼利亚
Golmayo	戈尔迈奥
Rioseco de Soria	里奥塞科德索里亚
Gómara	戈马拉
Cihuela	西韦拉
Trabadelo	特拉瓦德洛
Caleruega	卡莱鲁埃加
Hospital de Órbigo	奥斯皮塔尔德奥尔维戈
Villafranca del Bierzo	比耶尔索自由镇
Pōmare II	波马雷二世
Pōmare I	波马雷一世
Pōmare III	波马雷三世
Peñausende	佩尼奥森德
Villadangos del Páramo	比利亚丹戈斯德尔帕拉莫
Vega de Valcarce	贝加德瓦尔卡尔塞
Valverde de la Virgen	巴尔韦尔德德拉维尔亨
Barbalos	巴尔瓦洛斯
Susinos del Páramo (Burgos)	苏西诺斯德尔帕拉莫
Quintanar de la Sierra (Burgos)	金塔纳尔德拉谢拉
Olmedillo de Roa (Burgos)	奥尔梅迪略德罗阿
Valle de Valdebezana (Burgos)	巴列德瓦尔德韦萨纳
Calzada del Coto	卡尔萨达德尔科托
Valdesamario	巴尔德萨马里奥
Fuentes de Oñoro	丰特斯德奥尼奥罗
Val de San Lorenzo	巴尔德圣洛伦索
Baños de Valdearados (Burgos)	巴尼奥斯德瓦尔德亚拉多斯
Losacino	洛萨西诺
Villaquilambre	比利亚基兰夫雷
Pradoluengo (Burgos)	普拉多伦戈
Aldearrodrigo	阿尔德亚罗德里戈
Padilla de Arriba (Burgos)	上帕迪利亚
Trabazos	特拉瓦索斯
La Cueva de Roa	拉库埃瓦德罗阿
Valdemora	巴尔德莫拉
Tardajos (Burgos)	塔尔达霍斯
Sotragero (Burgos)	索特拉赫罗
Hurones (Burgos)	乌罗内斯
Villanueva de Teba (Burgos)	特瓦新镇
Condado de Treviño	孔达多德特雷维尼奥
Castildelgado	卡斯蒂尔德尔加多
Cardeñuela Riopico	卡尔德纽埃拉里奥皮科
Villaveza del Agua	比利亚韦萨德拉瓜
Alba de Tormes	阿尔瓦－德托梅斯
Espinosa del Camino (Burgos)	埃斯皮诺萨德尔卡米诺
Villares de Órbigo	比利亚雷斯德奥尔维戈
Orbaneja Riopico (Burgos)	奥尔瓦内哈里奥皮科
Pozuelo de Tábara	波苏埃洛德塔瓦拉
Palazuelos de Muñó (Burgos)	帕拉苏埃洛斯德穆尼奥
Nebreda (Burgos)	内夫雷达
Benavente (Zamora)	贝纳文特
Galbarros (Burgos)	加尔瓦罗斯
Palacios de la Sierra (Burgos)	帕拉西奥斯德拉谢拉
Peñaranda de Duero (Burgos)	佩尼亚兰达德杜埃罗
Fuentesecas	丰特塞卡斯
Riego de la Vega	列戈德拉韦加
Viloria de Rioja (Burgos)	比洛里亚德里奥哈
Ferreras de Abajo	下费雷拉斯
Pinilla de los Barruecos (Burgos)	皮尼利亚德洛斯瓦鲁埃科斯
Villambistia (Burgos)	比良维斯蒂亚
Tosantos (Burgos)	托桑托斯
Hornillos del Camino (Burgos)	奥尔尼略斯德尔卡米诺
Villafranca Montes de Oca (Burgos)	蒙特斯德奥卡自由镇
Hontanas (Burgos)	翁塔纳斯
Villahoz (Burgos)	比利亚奥斯
Losacio	洛萨西奥
Mecerreyes (Burgos)	梅塞雷埃斯
Pardilla (Burgos)	帕尔迪利亚
Ledesma (Salamanca)	莱德斯马
Villafáfila	比利亚法菲拉
Figueruela de Arriba	上菲格鲁埃拉
Hontoria del Pinar (Burgos)	翁托里亚德尔皮纳尔
ʻAinaonao	食蟻獸
Benuza	贝努萨
Rabanales	拉瓦纳莱斯
Milles de la Polvorosa	米列斯德拉波尔沃罗萨
Celada del Camino	塞拉达德尔卡米诺
Forfoleda	福尔福莱达
Castrillo Matajudíos	卡斯特里略马塔胡迪奥斯
Villamanín	比利亚马宁
Vegalatrave	贝加拉特拉韦
Molinos de Duero	莫利诺斯德杜埃罗
Vozmediano	博斯梅迪亚诺
Hinojosa del Campo	伊诺霍萨德尔坎波
Mamo	夏威夷監督吸蜜鳥
Garcihernández	加尔西埃尔南德斯
La Alberca	拉尔韦尔卡
Redecilla del Camino (Burgos)	雷德西利亚德尔卡米诺
Rabé de las Calzadas (Burgos)	拉韦德拉斯卡尔萨达斯
Hua mele hapa ‘umikūmāono	十六分音符
Covarrubias	科瓦鲁维亚斯
Aldearrubia	阿尔德亚鲁维亚
Llano de Bureba (Burgos)	利亚诺德武雷瓦
Adrada de Haza (Burgos)	阿德拉达德阿萨
Cerezo de Río Tirón	塞雷索德里奥蒂龙
Lōʻihi	罗希海底山
Aiga-i-le-Tai	艾加伊勒泰
Bembibre	本维夫雷
Santovenia	桑托韦尼亚
Wikipedia:Nohona kuhina	Wikipedia:大使館
Poʻe Hawaiʻi	夏威夷族
Manuae	馬努瓦埃環礁
Alfoz de Lloredo	阿尔福斯德略雷多
Cármenes	卡尔梅内斯
Ampuero	安普埃罗
Palacios del Sil	帕拉西奥斯德尔西尔
Cabrillanes	卡夫里利亚内斯
Briviesca (Burgos)	布里维耶斯卡
Iznalloz	伊斯纳略斯
Māhele:Kelemānia	Category:德国
Māhele:ʻAmelika Hui Pū ʻia	Category:美国
Māhele:Sepania	Category:西班牙
Māhele:Mekiko	Category:墨西哥
Gallegos del Pan	加列戈斯德尔潘
La Bañeza	拉瓦涅萨
Carracedelo	卡拉塞德洛
Carucedo	卡鲁塞多
Corullón	科鲁利翁
Castrocontrigo	卡斯特罗孔特里戈
Fabero	法韦罗
Corrales	洛斯科拉莱斯德武埃尔纳
Anievas	阿涅瓦斯
Anguix (Burgos)	安吉斯
Arauzo de Miel (Burgos)	阿劳索德米耶尔
Arauzo de Salce (Burgos)	阿劳索德萨尔塞
Brazacorta (Burgos)	布拉萨科尔塔
Aguilar de Bureba (Burgos)	阿吉拉尔德武雷瓦
Bascuñana (Burgos)	巴斯库尼亚纳
Altable (Burgos)	阿尔塔夫莱
Barbadillo del Pez (Burgos)	巴尔瓦迪略德尔佩斯
Bahabón de Esgueva (Burgos)	巴阿翁德埃斯格瓦
Alfoz de Quintanadueñas (Burgos)	阿尔福斯德金塔纳杜埃尼亚斯
Barrios de Colina (Burgos)	巴里奥斯德科利纳
Berberana (Burgos)	贝尔韦拉纳
Berlangas de Roa (Burgos)	贝尔兰加斯德罗阿
Aguas Cándidas (Burgos)	阿瓜斯坎迪达斯
Belbimbre (Burgos)	贝尔温夫雷
Montorio (Burgos)	蒙托里奥 (布尔戈斯省)
Māhele:Pōlani	Category:波蘭
Māhele:Wiekanama	Category:越南
Māhele:Hōʻike honua	Category:地理
Māhele:Akeakamai	Category:科学
Guijuelo	吉胡埃洛
Vegas del Condado	贝加斯德尔孔达多
Borrenes	博雷内斯
Santovenia de la Valdoncina	桑托韦尼亚德拉瓦尔东西纳
La Pola de Gordón	拉波拉德戈尔东
Villablino	比利亚夫利诺
Torre del Bierzo	托雷德尔维耶尔索
Vega de Espinareda	贝加德埃斯皮纳雷达
Barjas	巴尔哈斯
Cistierna	西斯铁尔纳
Babilafuente	巴维拉丰特
Cereceda de la Sierra	塞雷塞达德拉谢拉
Cardeñajimeno	卡尔德尼亚希梅诺
Castil de Peones	卡斯蒂尔德佩奥内斯
Jurisdicción de Lara (Burgos)	胡里斯迪克西翁德拉拉
Arganza (León)	阿尔甘萨
Valdevimbre	巴尔德温夫雷
Villaturiel	比利亚图列尔
Valdepolo	巴尔德波洛
Gumiel de Mercado (Burgos)	古米耶尔德梅尔卡多
Oquillas (Burgos)	奥基利亚斯
Villamañán	比利亚马尼扬
Puente de Domingo Flórez	蓬特德多明戈夫洛雷斯
Olmillos de Muñó (Burgos)	奥尔米略斯德穆尼奥
Encío (Burgos)	恩西奥
Ibeas de Juarros (Burgos)	伊韦亚斯德华罗斯
Santibáñez del Val (Burgos)	桑蒂瓦涅斯德尔瓦尔
Urdiales del Páramo	乌尔迪亚莱斯德尔帕拉莫
Sena de Luna	塞纳德卢纳
Oña (Burgos)	奥尼亚 (西班牙)
Grisaleña (Burgos)	格里萨莱尼亚
Coruña del Conde	科鲁尼亚德尔孔德
Zazuar (Burgos)	萨苏阿尔
Buniel (Burgos)	布涅尔
Arauzo de Torre (Burgos)	阿劳索德托雷
Berzosa de Bureba (Burgos)	贝尔索萨德武雷瓦
Alfoz de Santa Gadea (Burgos)	阿尔福斯德圣加德亚
Barbadillo de Herreros (Burgos)	巴尔瓦迪略德埃雷罗斯
Albillos (Burgos)	阿尔维略斯
Arenillas de Riopisuerga (Burgos)	阿雷尼利亚斯德里奥皮苏埃尔加
Barbadillo del Mercado	巴尔瓦迪略德尔梅尔卡多
Medina de Pomar (Burgos)	梅迪纳德波马尔
Bozoó (Burgos)	博索奥
Fuentelisendo (Burgos)	丰特利森多
Zarzosa de Río Pisuerga (Burgos)	萨尔索萨德里奥皮苏埃尔加
Alcocero de Mola (Burgos)	阿尔科塞罗德莫拉
Valle de Mena (Burgos)	巴列德梅纳
Zael (Burgos)	赛尔
Ameyugo (Burgos)	阿梅乌戈
Villaquejida	比利亚克希达
Sariegos	萨列戈斯
Corbillos de los Oteros	科尔维略斯德洛索特罗斯
Vega de Infanzones	贝加登凡索内斯
Peranzanes	佩兰萨内斯
Sabero	萨韦罗
Candín (León)	坎丁
Valderrueda	巴尔德鲁埃达
Puebla de Lillo	普埃夫拉德利略
Soto y Amío	索托亚米奥
Laguna de Negrillos	拉古纳德内格里略斯
Villarejo de Órbigo	比利亚雷霍德奥尔维戈
La Vecilla	拉韦西利亚
San Andrés del Rabanedo	圣安德雷斯德尔拉瓦内多
Villazala	比利亚萨拉
Villamontán de la Valduerna	比利亚蒙坦德拉瓦尔杜埃尔纳
Nava de Roa (Burgos)	纳瓦德罗阿
Villasabariego	比利亚萨瓦列戈
Oencia	奥恩西亚
Encinedo	恩西内多
Zuñeda (Burgos)	苏涅达
Valdeande (Burgos)	巴尔德亚恩德
Destriana	德斯特里亚纳
Villagatón	比利亚加通
Arija (Burgos)	阿里哈
Busto de Bureba (Burgos)	布斯托德武雷瓦
Abezames	阿韦萨梅斯
Alcañices	阿尔卡尼伊塞斯
Laguna Dalga	拉古纳达尔加
Alaraz	阿拉拉斯 (萨拉曼卡省)
Brincones	布林科内斯
Aldeadávila de la Ribera	阿尔德亚达维拉德拉里韦拉
Castellanos de Castro	卡斯特利亚诺斯德卡斯特罗
Cascajares de la Sierra	卡斯卡哈雷斯德拉谢拉
Iglesiarrubia (Burgos)	伊格莱西亚鲁维亚
Castrillo de la Vega	卡斯特里略德拉韦加
Sasamón (Burgos)	萨萨蒙
Torrepadre (Burgos)	托雷帕德雷
Sotillo de la Ribera (Burgos)	索蒂略德拉里韦拉
Torrecilla del Monte (Burgos)	托雷西利亚德尔蒙特
Linares de Riofrío	利纳雷斯德里奥夫里奥
Ahigal de Villarino	阿伊加尔德维利亚里诺
Gumiel de Izán (Burgos)	古米耶尔德桑
Cabrerizos	卡夫雷里索斯
Cantalapiedra	坎塔拉彼德拉
Ahigal de los Aceiteros	阿伊加尔德洛萨塞特罗斯
Barceo	巴尔塞奥
Castellanos de Moriscos	卡斯特利亚诺斯德莫里斯科斯
Casafranca	卡萨夫兰卡
Vizcaínos (Burgos)	比斯凯诺斯
Casillas de Flores	卡西利亚斯德夫洛雷斯
Los Balbases (Burgos)	洛斯瓦尔瓦塞斯
Santibáñez de Esgueva (Burgos)	桑蒂瓦涅斯德埃斯格瓦
San Martín de Rubiales (Burgos)	圣马尔廷德鲁维亚莱斯
Tórtoles de Esgueva (Burgos)	托尔托莱斯德埃斯格瓦
Villaescusa de Roa (Burgos)	比利艾斯库萨德罗阿
Mamolar (Burgos)	马莫拉尔
Moradillo de Roa (Burgos)	莫拉迪略德罗阿
Mambrilla de Castrejón (Burgos)	曼夫里利亚德卡斯特雷洪
Pedrosa de Duero (Burgos)	佩德罗萨德杜埃罗
Quintanilla del Coco (Burgos)	金塔尼利亚德尔科科
Pinilla de los Moros (Burgos)	皮尼利亚德洛斯莫罗斯
Valle de Tobalina (Burgos)	巴列德托瓦利纳
Villanueva de Carazo (Burgos)	卡拉索新镇
Quemada (Burgos)	克马达
Torresandino (Burgos)	托雷桑迪诺
Villalba de Duero (Burgos)	比利亚尔瓦德杜埃罗
Rubena (Burgos)	鲁韦纳
Valluércanes (Burgos)	巴柳埃尔卡内斯
Villadiego (Burgos)	比利亚迭戈
Merindad de Río Ubierna (Burgos)	梅林达德里欧维耶尔纳
Mazuela (Burgos)	马苏埃拉
Valle de Zamanzas (Burgos)	巴列德萨曼萨斯
Quintana del Pidio (Burgos)	金塔纳德尔皮迪奥
Vadocondes (Burgos)	巴多孔德斯
Fuentelcésped (Burgos)	丰特尔塞斯佩德
Ciadoncha	西亚东查
Merindad de Montija (Burgos)	梅林达德蒙蒂哈
Pancorbo (Burgos)	潘科尔沃
Monterrubio de la Demanda (Burgos)	蒙特鲁维奥德拉德曼达
Fuentespina (Burgos)	丰特斯皮纳
Cillaperlata	西利亚佩尔拉塔
Fontioso (Burgos)	丰蒂奥索
La Sequera de Haza (Burgos)	拉塞克拉德阿萨
La Horra (Burgos)	拉奥拉
Cilleruelo de Arriba	上锡列鲁埃洛
Jurisdicción de San Zadornil (Burgos)	胡里斯迪克西翁德圣萨多尔尼尔
Cuevas de San Clemente	库埃瓦斯德圣克莱门特
Fuentemolinos (Burgos)	丰特莫利诺斯
Hontangas (Burgos)	翁坦加斯
Hoyales de Roa (Burgos)	奥亚莱斯德罗阿
Campolara	坎波拉拉
Carrias	卡里亚斯
Canicosa de la Sierra	卡尼科萨德拉谢拉
Cerralbo	塞拉尔沃
Cabezón de la Sierra	卡韦松德拉谢拉
Cabañes de Esgueva	卡瓦涅斯德埃斯格瓦
Cardeñadijo	卡尔德尼亚迪霍
Castrillo de Riopisuerga	卡斯特里略德里奥皮苏埃尔加
La Puebla de Arganzón (Burgos)	拉普埃夫拉德亚尔甘松
Agallas	阿加利亚斯
Abusejo	阿武塞霍
Posada de Valdeón	波萨达德瓦尔德翁
Valderrey	巴尔德雷
Joarilla de las Matas	霍阿里利亚德拉斯马塔斯
Neila (Burgos)	内拉
Santiago Millas	桑蒂亚戈米利亚斯
Turcia	图尔西亚
Prioro	普里奥罗
Valdelugueros	巴尔德卢格罗斯
Santas Martas	桑塔斯马尔塔斯
Vegaquemada	贝加克马达
Pobladura de Pelayo García	波夫拉杜拉德佩莱奥加尔西亚
Navas de Bureba (Burgos)	纳瓦斯德武雷瓦
Vegacervera	贝加塞尔韦拉
San Adrián del Valle	圣阿德里安德尔瓦列
Valdefuentes del Páramo	巴尔德丰特斯德尔帕拉莫
Jaramillo Quemado (Burgos)	哈拉米略克马多
Campillo de Aranda	坎皮略德亚兰达
Jaramillo de la Fuente (Burgos)	哈拉米略德拉丰特
Carcedo de Bureba	卡尔塞多德武雷瓦
Cebrecos	塞夫雷科斯
La Fuente de San Esteban	拉丰特德圣埃斯特万
Aldeanueva de Figueroa	菲格罗阿新村
Cerezal de Peñahorcada	塞雷萨尔德佩尼亚奥尔卡达
Cabeza del Caballo	卡韦萨德尔卡瓦略
Lumbrales	伦夫拉莱斯
Villabraz	比利亚夫拉斯
Villamejil	比利亚梅希尔
Villaornate y Castro	比廖尔纳泰卡斯特罗
Valverde-Enrique	巴尔韦尔德-恩里克
Villaobispo de Otero	比廖维斯波德奥特罗
Villazanzo de Valderaduey	比利亚桑索德瓦尔德拉杜埃
Villanueva de las Manzanas	曼萨纳斯新镇
Villamandos	比利亚曼多斯
Villamol	比利亚莫尔
Villaselán	比利亚塞兰
Villamoratiel de las Matas	比利亚莫拉铁尔德拉斯马塔斯
Toral de los Guzmanes	托拉尔德洛斯古斯马内斯
Bañobárez	巴尼奥瓦雷斯
Barruecopardo	巴鲁埃科帕尔多
Carrascal del Obispo	卡拉斯卡尔德洛维斯波
Castillejo de Martín Viejo	卡斯蒂列霍德马尔廷维耶霍
Fuenteguinaldo	丰特吉纳尔多
Iruelos	伊鲁埃洛斯
Tamames	塔马梅斯
Bóveda del Río Almar	博韦达德尔里奥阿尔马尔
Doñinos de Ledesma	多尼伊诺斯德莱德斯马
Encina de San Silvestre	恩西纳德圣西尔韦斯特雷
Canillas de Abajo	下卡尼利亚斯
Castellanos de Villiquera	卡斯特利亚诺斯德维利克拉
Carpio de Azaba	卡尔皮奥德亚萨瓦
Doñinos de Salamanca	多尼伊诺斯德萨拉曼卡
Cantaracillo	坎塔拉西略
Las Casas del Conde	拉斯卡萨斯德尔孔德
Aldeaseca de la Frontera	阿尔德亚塞卡德拉夫龙特拉
Castraz	卡斯特拉斯
Cepeda (Salamanca)	塞佩达
El Tornadizo	埃尔托尔纳迪索
Aldeaseca de Alba	阿尔德亚塞卡德亚尔瓦
Navamorales	纳瓦莫拉莱斯
El Cabaco	埃尔卡瓦科
Aldeanueva de la Sierra	谢拉新村
Cipérez	西佩雷斯
Cantalpino	坎塔尔皮诺
Colmenar de Montemayor	科尔梅纳尔德蒙特迈奥尔
Espadaña (Salamanca)	埃斯帕达尼亚
Cespedosa de Tormes	塞斯佩多萨德托尔梅斯
Carbajosa de la Sagrada	卡尔瓦霍萨德拉萨格拉达
Cabrillas	卡夫里利亚斯
Berrocal de Huebra	贝罗卡尔德韦夫拉
Calvarrasa de Abajo	下卡尔瓦拉萨
Cilleros de la Bastida	西列罗斯德拉瓦斯蒂达
Sotresgudo (Burgos)	索特雷斯古多
Arapiles	阿拉皮莱斯
Benavides	贝纳维德斯
Tordómar (Burgos)	托尔多马尔
Torrelara (Burgos)	托雷拉拉
San Millán de Lara (Burgos)	圣米良德拉拉
Sordillos (Burgos)	索尔迪略斯
Santa María del Mercadillo (Burgos)	圣马里亚德尔梅尔卡迪略
Santa Cruz de la Salceda (Burgos)	圣克鲁斯德拉萨尔塞达
Santa Gadea del Cid (Burgos)	圣加德亚德尔西德
Tamarón (Burgos)	塔马龙
San Mamés de Burgos (Burgos)	圣马梅斯德武尔戈斯
Santa María del Campo (Burgos)	圣马里亚德尔坎波
San Vicente del Valle (Burgos)	圣比森特德尔瓦列
Sarracín (Burgos)	萨拉辛
Salinillas de Bureba (Burgos)	萨利尼利亚斯德武雷瓦
Villazopeque (Burgos)	比利亚索佩克
Vilviestre del Pinar (Burgos)	比尔维耶斯特雷德尔皮纳尔
Saldaña de Burgos (Burgos)	萨尔达尼亚德武尔戈斯
Tejada (Burgos)	特哈达
Tobar (Burgos)	托瓦尔
Santa Olalla de Bureba (Burgos)	圣奥拉利亚德武雷瓦
San Adrián de Juarros (Burgos)	圣阿德里安德华罗斯
Santa María del Invierno (Burgos)	圣马里亚德林维耶尔诺
Tinieblas de la Sierra (Burgos)	蒂涅夫拉斯德拉谢拉
Villaquirán de la Puebla (Burgos)	比利亚基兰德拉普埃夫拉
Villalbilla de Gumiel (Burgos)	比利亚尔维利亚德古米耶尔
Villanueva de Gumiel (Burgos)	古米耶尔新镇
Villaverde del Monte (Burgos)	比利亚韦尔德德尔蒙特
Villaescusa la Sombría (Burgos)	比利艾斯库萨拉松夫里亚
Villayerno Morquillas (Burgos)	比利艾埃尔诺莫尔基利亚斯
Villegas (Burgos)	比列加斯
Vileña (Burgos)	比莱尼亚
Rezmondo (Burgos)	雷斯蒙多
Villafruela (Burgos)	比利亚夫鲁埃拉
Villariezo (Burgos)	比利亚列索
Villagalijo (Burgos)	比利亚加利霍
Rublacedo de Abajo (Burgos)	下鲁夫拉塞多
Villamayor de Treviño (Burgos)	特雷维尼奥大镇
Royuela de Río Franco (Burgos)	罗尤埃拉德里奥夫兰科
Villaldemiro (Burgos)	比利亚尔德米罗
Villaverde-Mogina (Burgos)	比利亚韦尔德-莫希纳
Revillarruz (Burgos)	雷维利亚鲁斯
Villamayor de los Montes (Burgos)	蒙特斯大镇
Villamedianilla (Burgos)	比利亚梅迪亚尼利亚
Villalmanzo (Burgos)	比利亚尔曼索
Villaespasa (Burgos)	比利艾斯帕萨
Valles de Palenzuela (Burgos)	巴列斯德帕伦苏埃拉
Quintanaélez (Burgos)	金塔奈莱斯
Vallejera (Burgos)	巴列赫拉
Vallarta de Bureba (Burgos)	巴利亚尔塔德武雷瓦
Redecilla del Campo (Burgos)	雷德西利亚德尔坎波
Quintanabureba (Burgos)	金塔纳武雷瓦
Quintanaortuño (Burgos)	金塔瑙尔图尼奥
Quintanapalla (Burgos)	金塔纳帕利亚
Valle de Losa (Burgos)	巴列德洛萨
Regumiel de la Sierra (Burgos)	雷古米耶尔德拉谢拉
Quintanilla Vivar (Burgos)	金塔尼利亚维瓦尔
Poza de la Sal (Burgos)	波萨德拉萨尔
Quintanilla del Agua y Tordueles (Burgos)	金塔尼利亚德拉瓜伊托尔杜埃莱斯
Quintanilla de la Mata (Burgos)	金塔尼利亚德拉马塔
Fuentenebro (Burgos)	丰特内夫罗
La Revilla y Ahedo (Burgos)	拉雷维利艾阿埃多
Hacinas (Burgos)	阿西纳斯
Prádanos de Bureba (Burgos)	普拉达诺斯德武雷瓦
Fresno de Rodilla (Burgos)	夫雷斯诺德罗迪利亚
La Vid	拉维迪瓦里奥斯
Junta de Villalba de Losa (Burgos)	洪塔德维利亚尔瓦德洛萨
Hortigüela (Burgos)	奥尔蒂格拉
Villangómez (Burgos)	比良戈梅斯
Madrigalejo del Monte (Burgos)	马德里加莱霍德尔蒙特
Mahamud (Burgos)	马阿穆德
Presencio (Burgos)	普雷森西奥
Cilleruelo de Abajo	下锡列鲁埃洛
Madrigal del Monte (Burgos)	马德里加尔德尔蒙特
Manciles (Burgos)	曼西莱斯
Fuentebureba (Burgos)	丰特武雷瓦
Padrones de Bureba (Burgos)	帕德罗内斯德武雷瓦
Melgar de Fernamental (Burgos)	梅尔加尔德费尔纳门塔尔
Ibrillos (Burgos)	伊夫里略斯
La Vid de Bureba (Burgos)	拉维德武雷瓦
Palazuelos de la Sierra (Burgos)	帕拉苏埃洛斯德拉谢拉
Merindad de Sotoscueva (Burgos)	梅林达德索托斯库埃瓦
Castrillo del Val	卡斯特里略德尔瓦尔
Valdorros (Burgos)	巴尔多罗斯
Los Ausines (Burgos)	洛绍西内斯
Merindad de Cuesta-Urria (Burgos)	梅林达德库埃斯塔-乌里亚
Los Barrios de Bureba (Burgos)	洛斯瓦里奥斯德武雷瓦
Valle de Manzanedo (Burgos)	巴列德曼萨内多
Hontoria de Valdearados (Burgos)	翁托里亚德瓦尔德亚拉多斯
Fuentecén (Burgos)	丰特森
Miraveche (Burgos)	米拉韦切
Fresnillo de las Dueñas (Burgos)	夫雷斯尼略德拉斯杜埃尼亚斯
Piérnigas (Burgos)	彼尔尼加斯
Ciruelos de Cervera	西鲁埃洛斯德塞尔韦拉
Pinilla Trasmonte (Burgos)	皮尼利亚特拉斯蒙特
Valdezate (Burgos)	巴尔德萨特
Trespaderne (Burgos)	特雷斯帕德尔内
