Afraga	非洲
Nelson Mandela	纳尔逊·曼德拉
Martin Luther King, Jr.	马丁·路德·金
Sìthiche	小仙子
10mh Linn	10世纪
Geilleagar na h-Éireann	愛爾蘭經濟
Clach	岩石
Beinn-theine	火山
Neul	云
Cuairt-ghaoth	龍捲風
9mh Linn	9世纪
8mh Linn	8世纪
Geoimeatras	几何学
7mh Linn	7世纪
6mh Linn	6世纪
Gràmar	语法
Gaoth	風
5mh Linn	5世纪
4mh Linn	4世纪
3mh Linn	3世纪
2na Linn	2世纪
Àile	大气层
1 Linn	1世纪
Eaconomachd	经济学
Ruith-airgid	通貨
Cànanachas	语言学
Lide	音节
Aibidil Arabach	阿拉伯字母
Aibidil Cirileach	西里尔字母
Aibidil Ghreugach	希腊字母
Aibidil Ròmanach	拉丁字母
Roinn-seòrsa:Bulgàiria	Category:保加利亚
Litreachas	文學
Roinn-seòrsa:An Fhraing	Category:法国
Roinn-seòrsa:Ceòl	Category:音乐
Roinn-seòrsa:Litreachas	Category:文学
Nobhail	長篇小說
Roinn-seòrsa:Bàrdachd	Category:诗歌
Sionnach	赤狐
Trombaid	小號
Jazz	爵士乐
Clàirneid	單簧管
Trombon	长号
Fìdheall	小提琴
Valladolid	巴利亚多利德
Alasdair Mòr	亚历山大大帝
Foghlam	教育
Teaghlach	家庭
Hugo Chávez	烏戈·查維茲
Otto von Bismarck	奥托·冯·俾斯麦
Pòsadh	婚姻
Cogadh sìobhalta	内战
Cofaidh	咖啡
Bainne	乳
Beinn	山
Fàsach	荒漠
Simón Bolívar	西蒙·玻利瓦尔
Andrew Johnson	安德鲁·约翰逊
Iùdais	意第緒語
Hong Kong	香港
Miami, Florida	迈阿密
Karachi	卡拉奇
Lagos	拉哥斯
Cogadh Catharra Ameireaganach	南北战争
Rio de Janeiro	里约热内卢
Cogadh Fuar	冷战
Seoul	首爾
Shanghai	上海市
Bilbao	毕尔巴鄂
Port-adhair Dhùn Èideann	愛丁堡機場
Sevilla	塞维利亚
Port-adhair Eadar-nàiseanta Ghlaschu	格拉斯哥国际机场
Archimedes	阿基米德
Albàinis	阿尔巴尼亚语
Michael Faraday	麥可·法拉第
Basgais	巴斯克語
Corùna	拉科魯尼亞
Radebeul	拉德博伊尔
Ucràinis	乌克兰语
Granada	格拉纳达
València	巴倫西亞
Mallorca	馬略卡島
Valence (Drôme)	瓦朗斯 (德龙省)
Málaga	马拉加
Sealgair Mòr	獵戶座
Reul-bhad	星座
Johannes Gutenberg	约翰内斯·古腾堡
Leas-Rìoghachd Ghranada Ùire	新格拉納達總督轄區
Port Adhair Obar Dheathain	阿伯丁机场
Port-adhair Ghlaschu Phreastabhaig	格拉斯哥普雷斯特威克机场
Mo Yan	莫言
Schaffhausen	沙夫豪森
Suainis	瑞典語
Danmhairgis	丹麦语
James Watt	詹姆斯·瓦特
Nirribhis	挪威语
Noam Chomsky	诺姆·乔姆斯基
Lucsamburgais	卢森堡语
Seacais	捷克语
Slòbhacais	斯洛伐克语
Karl Marx	卡尔·马克思
Slòbhainis	斯洛文尼亚语
Ungairis	匈牙利语
Voltaire	伏爾泰
Eastoinis	爱沙尼亚语
Maois	摩西
Latbhais	拉脱维亚语
Liotuànais	立陶宛语
Hionduthachd	印度教
Bealaruisis	白俄罗斯语
Dmitri Mendeleev	德米特里·伊万诺维奇·门捷列夫
Ernest Rutherford	欧内斯特·卢瑟福
Winterthur	温特图尔
Greugais	希腊语
Miotas-eòlas	神话
Gàidhlig na h-Èireann	愛爾蘭語
Jozip Broz Tito	约瑟普·布罗兹·铁托
Anam	灵魂
Maltais	马耳他语
Genesis	創世記
Ecsodus	出埃及記
Sigmund Freud	西格蒙德·弗洛伊德
Roinn-seòrsa:Reul-bhadan	Category:星座
Baku	巴库
Làrach Dhualchas na Cruinne	世界遗产
Iùdhachd	犹太教
Thimphu	廷布
Bandar Seri Begawan	斯里巴加湾市
Eabhra	希伯来语
Sèirbis	塞尔维亚语
Cuimris	威尔士语
Dili	帝力
Immanuel Kant	伊曼努尔·康德
Gàidhlig	苏格兰盖尔语
John Maynard Keynes	约翰·梅纳德·凯恩斯
Vientiane	永珍
Guy de Maupassant	居伊·德·莫泊桑
Lao Zi	老子
Malé	馬累
Bishkek	比什凯克
Jean-Paul Sartre	让-保罗·萨特
Dushanbe	杜尚别
Àdha	肝臟
Adam Smith	亚当·斯密
Aotraman	膀胱
Coineanach	兔
Eòlas-inntinn	心理学
Cuan	洋
Bànrigh Bhictoria	维多利亚 (英国君主)
Buddha	释迦牟尼
Mohammed	穆罕默德
BBC	英国广播公司
Tony Blair	托尼·布莱尔
Al-Ghazali	安薩里
Martin Luther	馬丁·路德
John Major	约翰·梅杰
James Callaghan	詹姆斯·卡拉漢
Gerald Ford	杰拉尔德·福特
Richard Nixon	理查德·尼克松
Eaglais Chaitligeach	天主教會
Balg	腹
Bangla	孟加拉语
Machlag	子宫
Teanga	舌
Amhach	頸
Beul	口腔
Lyndon B. Johnson	林登·约翰逊
Alt (corp)	关节
Na h-Eileanan Fàclainn	福克兰群岛
A	A
Eilean Mhanainn	曼島
Bànrigh Ealasaid II	伊丽莎白二世
John F. Kennedy	约翰·肯尼迪
B	B
Bailiùn	气球
Honoré de Balzac	奥诺雷·德·巴尔扎克
G	G
U	U
Z	Z
Blues	藍調
F	F
J	J
Aibidil	字母系統
Reggae	雷鬼音樂
Sacsafòn	薩克斯風
T	T
C	C
Eindhoven	埃因霍温
R	R
Zundert	津德尔特
D	D
Alpha	Α
Omega	Ω
I	I
Amstelveen	阿姆斯特尔芬
Mu	Μ
E	E
H	H
Dwight D. Eisenhower	德怀特·艾森豪威尔
Haarlem	哈勒姆
K	K
L	L
M	M
N	N
O	O
Laren	拉倫
P	P
Q	Q
S	S
Ronald Reagan	罗纳德·里根
V	V
W	W
X	X
Y	Y
Deventer	代芬特尔
Enschede	恩斯赫德
Phi	Φ
Vlissingen	弗利辛恩
Andy Moireach	安迪·穆雷
LibreOffice	LibreOffice
Zulu (cànan)	祖鲁语
Pythagoras	毕达哥拉斯
Iruña	潘普洛納 (西班牙)
Baraille	桶
Zaragoza	萨拉戈萨
Donostia	圣塞瓦斯蒂安
Almería	阿尔梅里亚
Dreagbhod	小熊座
Saskatoon	萨斯卡通
Gordon Brown	戈登·布朗
Ailig Salmond	亚历克斯·萨尔蒙德
Pàrtaidh Nàiseanta na h-Alba	苏格兰民族党
1100	1100年
Neville Chamberlain	内维尔·张伯伦
Roinn-seòrsa:A' Bheiniseala	Category:委内瑞拉
Beul Feirste	贝尔法斯特
Caerdydd	加的夫
Tórshavn	托爾斯港
Georgetown, Guiana	乔治敦 (圭亚那)
9/11	九一一袭击事件
Pèist	爬行动物
Mariano Rajoy Brey	马里亚诺·拉霍伊
Creimiche	啮齿目
Calman	鸠鸽科
Cogadh Sìobhalta na Spàinne	西班牙内战
Peileag	鼠海豚科
Craobh	树
Lambda	Λ
Dà-bheathach	两栖动物
Rèabhlaid	革命
Càise	乾酪
Rugbaidh lìog	聯盟式橄欖球
Mil	蜂蜜
Feòil	肉类食物
Buntàta	马铃薯
Siùcar	食糖
Taigh nam Morairean	英國上議院
Snùcair	斯诺克
Teicneòlas	技术
Inneal	机械
Innleadaireachd	工程学
Conaltradh	通信
Pàipear-naidheachd	報紙
Clò-bhualadh	印刷
Fòn	电话
Na Rolling Stones	滚石乐队
Pinnt	品脫
Lugo	卢戈 (西班牙)
Searbhag	酸
Comharradh-ceiste	问号
Co-thàth	化合物
22mh Linn	22世纪
Eòlas-leighis	医学
Sarajevo	塞拉耶佛
Àireamhachd	算术
Siostaman cho-chomharran	坐標系
Salann	食盐
Roinn-seòrsa:Braisil	Category:巴西
Roinn-seòrsa:Romàinia	Category:罗马尼亚
Ceàrn (Matamataig)	角
Gualuisg	糖类
Lùth	能量
Ròc	摇滚乐
Hip-hop	嘻哈音樂
Apartheid	南非種族隔離
Geama	游戏
Iom-tharraing	引力
Go	围棋
Tomad	质量
Film	电影
Meatailt	金属
Stàilinn	钢
Gas	气体
Carbad-adhair	航空器
Rothair	自行車
Long	船
Àiteachas	农业
Cotan	棉花
Aodach	服装
Crann-treabhaidh	犁
Pàipear	纸
Farsaingeachd	面积
Àireamh	数
Darwin, Astràilia	达尔文 (澳大利亚)
Cruithneachd Innseanach	玉米
Harry S. Truman	哈里·S·杜鲁门
Judy Garland	朱迪·加兰
Dannsa	舞蹈
Aimsir	天气
Cinn-suidhe nan Stàitean Aonaichte	美国总统
Dùthchannan an t-Saoghail	世界政區索引
Mathan	熊科
John Adams	约翰·亚当斯
Thomas Jefferson	托马斯·杰斐逊
James Madison	詹姆斯·麦迪逊
James Monroe	詹姆斯·门罗
John Quincy Adams	约翰·昆西·亚当斯
Andrew Jackson	安德鲁·杰克逊
Martin Van Buren	马丁·范布伦
Silvio Berlusconi	西尔维奥·贝卢斯科尼
William Henry Harrison	威廉·亨利·哈里森
John Tyler	约翰·泰勒
James K. Polk	詹姆斯·诺克斯·波尔克
Zachary Taylor	扎卡里·泰勒
Bern (Kanton)	伯恩州
Genève (Canton)	日內瓦州
Glarus (Kanton)	格拉魯斯州
Grischuns (Chantun)	格勞賓登州
Solothurn (Kanton)	索洛圖恩州
Kevin Costner	凯文·科斯特纳
Zug (Kanton)	楚格州
Zürich (Kanton)	苏黎世州
Alacant	阿利坎特
Aargau (Kanton)	阿爾高州
Las Palmas de Gran Canaria	拉斯帕尔马斯
Foto-cho-chur	光合作用
Leatrom	妊娠
Darach	栎属
Giuthas	松屬
1101	1101年
1102	1102年
Aillse	癌症
Appenzell Ausserrhoden (Kanton)	外阿彭策爾州
Appenzell Innerrhoden (Kanton)	內阿彭策爾州
Coirce	燕麦
Breatannais	布列塔尼语
Luzern (Kanton)	卢塞恩州
Bodhar	聾
Roinn-tìde	时区
Basel-Landschaft (Kanton)	巴塞爾鄉村州
Slàinte	健康
Basel-Stadt (Kanton)	巴塞爾城市州
Gàidhlig Mhanainn	曼島語
Naoned	南特
Brest	布雷斯特 (法国)
AIDS	艾滋病
A' Chaitheamh	結核
Breac (tinneas)	天花
Stanley	斯坦利 (福克兰群岛)
Huelva	韦尔瓦
Ailtireachd	建筑
Drochaid	橋
Millard Fillmore	米勒德·菲尔莫尔
Franklin Pierce	富兰克林·皮尔斯
James Buchanan	詹姆斯·布坎南
Uri (Kanton)	烏里州
Pontevedra	蓬特韦德拉
Schwyz (Kanton)	施維茨州
Newton	牛頓 (單位)
Detroit, Michigan	底特律
Königswinter	克尼格斯温特尔
Siostam Eadar-nàiseanta nan Aonadan	国际单位制
Staitistearachd	统计学
1103	1103年
1104	1104年
Balla Mòr Shìona	长城
Cruinne	球面
Gard (département)	加尔省
Biorramaid	金字塔
Gers	热尔省
Gironde	吉倫特省
Haute-Garonne	上加龙省
Soillseachadh	啟蒙時代
Hauts-de-Seine	上塞纳省
An t-Impireachd Bheasantian	拜占庭帝国
Hérault	埃罗省
Il-ha-Gwilen	伊勒-维莱讷省
Indre	安德尔省
Meadhan-aoisean	中世纪
Indre-et-Loire	安德尔-卢瓦尔省
Isère	伊泽尔省
An t-Ath-Leasachadh	宗教改革
Landes (département)	朗德省
Loir-et-Cher	卢瓦尔-谢尔省
Na Lochlannaich	維京人
Haute-Loire	上盧瓦爾省
Obwalden (Kanton)	上瓦爾登州
Loiret	卢瓦雷省
Lot (département)	洛特省
Lot-et-Garonne	洛特-加龍省
Lozère	洛泽尔省
Maine-et-Loire	曼恩-卢瓦尔省
Aimearaga-Laideannach	拉丁美洲
Manche	芒什省
Nidwalden (Kanton)	下瓦爾登州
Marne	马恩省
Haute-Marne	上马恩省
Mayenne	马耶讷省
Meurthe-et-Moselle	默尔特-摩泽尔省
Camas Mheagsago	墨西哥湾
Meuse	默兹省
Làn-thoradh Dùthchail	国内生产总值
Fribourg (Canton)	弗里堡州
Mor-Bihan	莫尔比昂省
Moselle (département)	摩泽尔省
Nièvre	涅夫勒省
Wilhelm Ostwald	威廉·奥斯特瓦尔德
Nord (département)	诺尔省
Oise	瓦兹省
Orne	奧恩省
Pas-de-Calais	加来海峡省
Puy-de-Dôme	多姆山省
Schaffhausen (Kanton)	沙夫豪森州
Hautes-Pyrénées	上比利牛斯省
Pyrénées-Atlantiques	比利牛斯-大西洋省
Lùth ath-nuadhachail	可再生能源
Pyrénées-Orientales	东比利牛斯省
Thurgau (Kanton)	圖爾高州
Bas-Rhin	下莱茵省
Haut-Rhin	上莱茵省
Ticino (Cantone)	提契諾州
Dealan	電
Haute-Saône	上索恩省
Saône-et-Loire	索恩-卢瓦尔省
Neuchâtel (Canton)	納沙泰爾州
Sarthe	萨尔特省
Beul-àtha	浅滩
Savoie (département)	萨瓦省
St. Gallen (Kanton)	聖加侖州
Haute-Savoie	上萨瓦省
Seine-et-Marne	塞纳-马恩省
Jura (Canton)	汝拉州
Inneal broinne-losgaidh	内燃机
Seine-Maritime	滨海塞纳省
Inneal-stotha	蒸汽机
Seine-Saint-Denis	塞纳-圣但尼省
Deux-Sèvres	德塞夫勒省
Somme (département)	索姆省
Vaud (Canton)	沃州
Tarn (département)	塔恩省
Tarn-et-Garonne	塔恩-加龙省
Territoire de Belfort	贝尔福地区
Val-d'Oise	瓦茲河谷省
Val-de-Marne	马恩河谷省
Var (département)	瓦尔省
Claidheamh	劍
Vaucluse	沃克吕兹省
Vendée	旺代省
Vienne	维埃纳省
Haute-Vienne	上维埃纳省
Yonne	约讷省
Yvelines	伊夫林省
Reinhard Selten	赖因哈德·泽尔腾
Majuro	馬久羅
Fano	法諾
Sùbh-craoibh	樹莓
Rumantsch	罗曼什语
Bàrr a' bhainne	鮮奶油
Reòiteag	冰淇淋
Sòrbais Uarach	上索布语
Briosgaid	面饼
Sòrbais Ìosal	下索布语
Graz	格拉茨
Nahuatl (cànan)	納瓦特爾語
Navajo (cànan)	納瓦荷語
Imperia	因佩里亞
Ravenna	拉文納
Oilthigh Harvard	哈佛大学
Pistoia	皮斯托亞
Yopal (baile)	約帕爾
Nuoro	努奥罗
Agrigento	阿格里真托
Bumpair	保险杠
1105	1105年
Lleida (provincia)	列伊达省
Île-de-France	法兰西岛
Centre-Val de Loire	中央 (大區)
Piocardaidh	皮卡第
Arabais	阿拉伯语
Tartu	塔尔图
Casanare (Roinn)	卡萨纳雷省
Caquetá (Roinn)	卡克塔省
Kyūshū	九州 (日本)
Honshū	本州
Valle del Cauca (Roinn)	考卡山谷省
Shikoku	四國
Risaralda (Roinn)	里萨拉尔达省
Quindío (Roinn)	金迪奥省
Dolair Aimearaganach	元 (貨幣)
Champagne-Ardenne	香槟-阿登
Corsaca	科西嘉岛
Ogsatanais	奥克语
Afraganais	南非語
Prìomh Mhinistearan na Rìoghachd Aonaichte	英国首相
Prìomh-mhinistear	总理
Aarau	阿劳
Santiago de Compostela	聖地亞哥-德孔波斯特拉
Vitoria-Gasteiz	維多利亞 (西班牙)
Santa Cruz de Tenerife	圣克鲁斯-德特内里费
Tyrannosaurus	暴龍屬
Beta	Β
Gamma	Γ
Delta	Δ
Epsilon	Ε
Zeta	Ζ
Eta	Η
Theta	Θ
Iota	Ι
Kappa	Κ
Nu	Ν
Xi	Ξ
Omicron	Ο
Rho	Ρ
Sigma	Σ
Tau	Τ
Loch Lugano	盧加諾湖
Upsilon	Υ
Chi	Χ
Psi	Ψ
A' Bheurla Ghallda	低地蘇格蘭語
Emmen	埃門 (荷蘭)
Lùireach	紋章
Caolabhain	铅笔
Àirneis	家具
Bòrd (àirneis)	桌子
Macau	澳門
Bautzen	包岑
Aurich	奥里希
Bernburg	贝尔恩布尔格
Crann-sneachda	扫雪机
Gimel	Gimel
Sioraf	长颈鹿
Tarragona	塔拉戈纳
Lleida	列伊达
Castelló de la Plana	卡斯特利翁-德拉普拉納
Provence-Alpes-Côte d'Azur	普罗旺斯-阿尔卑斯-蓝色海岸
Bile (corp)	唇
Aonadh Sobhiat	苏联
Lord of the Rings ( leabhar )	魔戒
Loch Ladoga	拉多加湖
Platapas gob-tunnaige	鸭嘴兽
Sant Quirze Safaja	圣基里科萨法哈
Cáceres	卡塞雷斯 (西班牙)
Badajoz	巴達霍斯
Jaén (baile)	哈恩 (西班牙)
Cádiz	加的斯
Salamanca	萨拉曼卡
Bun-na-coise	脚
Queen	皇后乐队
Freddie Mercury	弗雷迪·默丘里
Amy Winehouse	艾米·怀恩豪斯
Altenburg	阿尔滕堡
Cnàmh an ugain	锁骨
Bòrd-geal	白板
Gualann	肩
Peirceall	下颌骨
Humphrey Bogart	亨弗莱·鲍嘉
Midi-Pyrénées	南部-比利牛斯
Franche-Comté	弗朗什-孔泰
Teamplaid:Link FA	Template:Link FA
Robert Mitchum	罗伯特·米彻姆
Uicipeid:Talla a' Bhaile	Wikipedia:互助客栈
České Budějovice	捷克布杰约维采
Bàirdse	驳船
Breitheamh	法官
Vermont	佛蒙特州
San Diego, Calafòrnia	聖地牙哥 (加利福尼亞州)
San Jose, Calafòrnia	聖荷西 (加利福尼亞州)
Denver	丹佛
Houston, Texas	休斯敦
Phoenix, Arizona	鳳凰城 (亞利桑那州)
Dallas, Texas	達拉斯
Fort Worth, Texas	沃思堡
Memphis, Tennessee	孟菲斯 (田納西州)
Columbus, Ohio	哥伦布 (俄亥俄州)
Jacksonville, Florida	杰克逊维尔 (佛罗里达州)
Justus von Liebig	尤斯图斯·冯·李比希
Samoa Aimearaganach	美屬薩摩亞
Na Sia Nàiseanan	六國錦標賽
Basse-Normandie	下诺曼底
A' Ghearmailt an Ear	東德
Haute-Normandie	上諾曼地
Pàpa Pòl VI	保祿六世
Nord-Pas-de-Calais	北部-加来海峡
Pays de la Loire	卢瓦尔河地区
Languedoc-Roussillon	朗格多克-鲁西永
Poitou-Charentes	普瓦图-夏朗德
Guadeloupe	瓜德罗普
Oakland, Calafòrnia	奥克兰 (加利福尼亚州)
Martinique	馬提尼克
Mayotte	马约特
Réunion	留尼汪
Ugh	卵
Johan Cruyff	约翰·克鲁伊夫
Tibet	藏区
Cearcall	圆
Bosco Marengo	博斯科马伦戈
Tenzin Gyatso	第十四世达赖喇嘛
Donald Knuth	高德纳
Diego Armando Maradona	迭戈·马拉多纳
Fòn-làimh	移动电话
Struth (eun)	鸵鸟
Aicseam	公理
Portacomaro	波尔塔科马罗
LCDT	LGBT
Sappho	莎孚
Sacramento, Calafòrnia	沙加緬度
Honolulu	檀香山
Coirea	朝鲜 (称谓)
1925	1925年
1927	1927年
Manchester	曼彻斯特
Gao Xingjian	高行健
Alfonso XIII na Spàinne	阿方索十三世
Providence, Rhode Island	普罗维登斯 (罗德岛州)
Sasainn Nuadh	新英格蘭
Alatri	阿拉特里 (意大利)
Joseph Stiglitz	约瑟夫·斯蒂格利茨
1000	1000年
999	999年
Faol	狼
Bàlla	球 (體育)
Doolish	道格拉斯 (马恩岛)
Tucson, Arizona	图森 (亚利桑那州)
1955	1955年
1954	1954年
1953	1953年
1951	1951年
1950	1950年
1946	1946年
1943	1943年
1942	1942年
1940	1940年
1939	1939年
1938	1938年
1937	1937年
1936	1936年
1935	1935年
Swansea City A.F.C.	斯旺西城足球俱乐部
1934	1934年
1933	1933年
1932	1932年
1931	1931年
1930	1930年
1929	1929年
Pyongyang	平壤
Tiomnadh Nuadh	新約聖經
Cuthag	大杜鹃
Mial-theanga	縮頭魚虱
Arthur Balfour	阿瑟·貝爾福
Edwin Mattison McMillan	埃德温·麦克米伦
2010an	2010年代
Mario J. Molina	马里奥·莫利纳
Samuel Huntington	塞繆爾·P·亨廷頓
George Bernard Shaw	萧伯纳
Tìr-mòr na Sìne	中国大陆
1001	1001年
1002	1002年
1003	1003年
1005	1005年
1006	1006年
1007	1007年
1008	1008年
1009	1009年
1010	1010年
1011	1011年
1012	1012年
1013	1013年
1014	1014年
1015	1015年
1016	1016年
1017	1017年
1018	1018年
1019	1019年
1020	1020年
1021	1021年
1022	1022年
1023	1023年
1024	1024年
1025	1025年
1026	1026年
1027	1027年
1028	1028年
1029	1029年
1030	1030年
1031	1031年
1032	1032年
1033	1033年
1034	1034年
1035	1035年
1036	1036年
1037	1037年
1038	1038年
1039	1039年
1040	1040年
1041	1041年
1042	1042年
1043	1043年
1044	1044年
1045	1045年
1046	1046年
1047	1047年
1048	1048年
1049	1049年
1050	1050年
1051	1051年
1052	1052年
1053	1053年
1054	1054年
1055	1055年
1056	1056年
1057	1057年
1058	1058年
1059	1059年
1060	1060年
1061	1061年
1062	1062年
1063	1063年
1064	1064年
1065	1065年
1066	1066年
Pelican	鹈鹕
1067	1067年
1068	1068年
1069	1069年
1070	1070年
1071	1071年
1072	1072年
1073	1073年
1074	1074年
1075	1075年
1076	1076年
1077	1077年
1078	1078年
1079	1079年
1080	1080年
1081	1081年
1082	1082年
1083	1083年
1084	1084年
1085	1085年
1086	1086年
1087	1087年
1088	1088年
1089	1089年
1090	1090年
1091	1091年
1092	1092年
1093	1093年
1094	1094年
1095	1095年
1096	1096年
1097	1097年
1098	1098年
1099	1099年
1106	1106年
1107	1107年
1108	1108年
1109	1109年
1110	1110年
Podolsk	波多利斯克
1111	1111年
1112	1112年
1113	1113年
1114	1114年
1115	1115年
1116	1116年
1117	1117年
1118	1118年
1119	1119年
1120	1120年
Pàpa	教宗
1130	1130年
1131	1131年
Rafael Correa	拉斐尔·科雷亚
1132	1132年
1133	1133年
1134	1134年
C.B. Celtic	凯尔特人足球俱乐部
1135	1135年
C.B. Rangers	流浪者足球俱乐部
1136	1136年
1137	1137年
1138	1138年
1139	1139年
5	5年
1140	1140年
1141	1141年
1142	1142年
1143	1143年
1144	1144年
4	4年
1145	1145年
1146	1146年
1147	1147年
1148	1148年
3	3年
1149	1149年
1150	1150年
1151	1151年
1152	1152年
1153	1153年
2	2年
1154	1154年
1155	1155年
1156	1156年
1157	1157年
1158	1158年
1159	1159年
Bucharest	布加勒斯特
1160	1160年
1161	1161年
1162	1162年
1163	1163年
1164	1164年
Louvre	卢浮宫
1165	1165年
1166	1166年
1167	1167年
1168	1168年
1169	1169年
1170	1170年
Buidheann neo-eisimeileachd na Porto Riko	波多黎各獨立黨
1171	1171年
1172	1172年
1173	1173年
Tirana	地拉那
1174	1174年
1175	1175年
1176	1176年
1177	1177年
1178	1178年
Motörhead	摩托头
1179	1179年
1180	1180年
1181	1181年
Asal	驴
1182	1182年
1928	1928年
Tatha	泰河
Spè	斯佩河
Abhainn Chluaidh	克萊德河
1183	1183年
1184	1184年
1185	1185年
1186	1186年
1187	1187年
1188	1188年
1189	1189年
1190	1190年
1191	1191年
1192	1192年
1193	1193年
1194	1194年
1195	1195年
1196	1196年
1197	1197年
1198	1198年
1199	1199年
6	6年
Seann Tiomnadh	旧约圣经
Josh Duhamel	喬許·杜默
Nollaig	圣诞节
Cànanan Ròmanach	罗曼语族
Bliadhna-leum	闰年
Steve Jobs	史蒂夫·乔布斯
Lady Gaga	Lady Gaga
Cànanan Innd-Eòrpach	印欧语系
Breinigerberg	贝瑞宁格堡
Muammar al-Gaddafi	穆阿迈尔·卡扎菲
Tìgear	虎
Rìgh Juan Carlos I na Spàinne	胡安·卡洛斯一世
Francesco Totti	弗朗切斯科·托蒂
Bonnach-uighe	西式蛋餅
Àrd-Dhiùcachd Hesse	黑森-达姆施塔特
Mirow	米罗
Feldberger Seenlandschaft	费尔德贝格森兰德沙夫特
Neustrelitz	诺伊斯特雷利茨
Eideard VII	爱德华七世
Spitzbergen	斯匹次卑尔根岛
Lochlann	斯堪的纳维亚
A' Chàisg	復活節
Chişinău	基希讷乌
Cànain Ghearmaineach	日耳曼语族
Eòlas-comainn	社会学
Şalom	Şalom報
Aibidil Eadar-nàiseanta Fogharach	國際音標
Oilthigh Phrinceton	普林斯顿大学
Echidna	针鼹
Taidh-Bhàn (eilean)	臺灣
Aurora, Illinois	奥罗拉 (伊利诺伊州)
New York	紐約 (消歧義)
Cruadhtan	混凝土
Co-chomharran an Domhain	经纬度
Bròg	鞋
Donald Trump	唐納德·川普
Banca	銀行
Pàirce	公园
Dùmhlachd-sluaigh	人口密度
Èirinn	爱尔兰岛
Rosheim	罗塞姆 (下莱茵省)
Abertawe	斯旺西
Roinn Eilbheiseach	瑞士行政區劃
Sneek	斯內克 (城镇)
1	1年
A’ Chòrn	康沃爾郡
Bristol	布里斯托尔
Wombat	袋熊
10	10年
Nashville, Tennessee	纳什维尔
20	20年
Spinazzola	斯皮纳佐拉
30	30年
40	40年
9	9年
7	7年
8	8年
Taylor Lautner	泰勒·洛納
Jeremy Renner	杰瑞米·雷纳
12	12年
Seòl-mara	潮汐
Fiadh	鹿科
Dèigh	冰
Ùrnaigh an Tighearna	主禱文
Loch-uisge	湖泊
Musée d'Orsay	奥赛博物馆
Corp-eòlas	人类学
930	930年
13	13年
985	985年
1122	1122年
981	981年
939	939年
Ulan Bator	乌兰巴托
Ernest Hemingway	欧内斯特·海明威
Dùn Èideann	爱丁堡
Ashgabat	阿什哈巴德
51	51年
Eilean	島嶼
814	814年
678	678年
950	950年
679	679年
996	996年
680	680年
37	37年
980	980年
900	900年
1129	1129年
Chris Pine	克里斯·潘恩
843	843年
Lordi	妖怪樂團
690	690年
691	691年
988	988年
692	692年
476	476年
693	693年
Marseille	马赛
694	694年
695	695年
Uinnean	洋蔥
696	696年
697	697年
698	698年
Cànan Oifigeil	官方语言
699	699年
700	700年
Moshchena	穆夏那
701	701年
702	702年
Àrc-eòlas	考古学
703	703年
Tomàto	番茄
704	704年
705	705年
George H. W. Bush	乔治·赫伯特·沃克·布什
706	706年
68	68年
89	89年
707	707年
708	708年
709	709年
11	11年
710	710年
711	711年
Paltoga	帕托加
712	712年
Na Balcain	巴尔干半岛
713	713年
714	714年
Cànanan Slàbhach	斯拉夫语族
715	715年
Dmitry Medvedev	德米特里·阿纳托利耶维奇·梅德韦杰夫
716	716年
717	717年
718	718年
Entrena	恩特雷纳
719	719年
720	720年
Pròsdanachas	新教
721	721年
722	722年
723	723年
NASA	美国国家航空航天局
724	724年
725	725年
726	726年
Atlanta	亚特兰大
727	727年
Benito Mussolini	贝尼托·墨索里尼
728	728年
729	729年
963	963年
730	730年
Podgorica	波德戈里察
731	731年
Lost	迷失
962	962年
732	732年
733	733年
997	997年
734	734年
972	972年
735	735年
955	955年
901	901年
736	736年
737	737年
936	936年
738	738年
953	953年
902	902年
739	739年
15	15年
740	740年
14	14年
741	741年
742	742年
17	17年
743	743年
958	958年
744	744年
500	500年
745	745年
150	150年
746	746年
880	880年
747	747年
748	748年
749	749年
Na Sopranos	黑道家族
870	870年
903	903年
750	750年
HBO	HBO
751	751年
Bermuda	百慕大
752	752年
Ceann	头
753	753年
987	987年
754	754年
965	965年
755	755年
924	924年
951	951年
932	932年
Wellington, Sealainn Nuadh	惠灵顿
Breatainn Mhòr	大不列顛島
23	23年
800	800年
Jimmy Carter	吉米·卡特
120	120年
Laoidh Nàiseanta	国歌
42	42年
967	967年
989	989年
960	960年
969	969年
957	957年
1124	1124年
971	971年
937	937年
992	992年
990	990年
899	899年
975	975年
942	942年
966	966年
1128	1128年
959	959年
973	973年
18	18年
19	19年
16	16年
21	21年
26	26年
41	41年
32	32年
33	33年
982	982年
974	974年
976	976年
979	979年
986	986年
Dath nan sùilean	眼睛色彩
919	919年
998	998年
995	995年
977	977年
1125	1125年
Valletta	瓦莱塔
934	934年
200	200年
876	876年
875	875年
810	810年
929	929年
882	882年
1127	1127年
940	940年
889	889年
844	844年
912	912年
838	838年
984	984年
874	874年
38	38年
43	43年
127	127年
954	954年
39	39年
24	24年
79	79年
61	61年
104	104年
29	29年
102	102年
866	866年
Pàpa Iain XXIII	若望二十三世
839	839年
622	622年
918	918年
100	100年
Lila Downs	利拉·唐斯
961	961年
570	570年
632	632年
Andrew Garfield	安德魯·加菲爾德
946	946年
835	835年
884	884年
859	859年
