Afrika	非洲
Bleuñv	花
Gogol	古高爾
Vladimir Vysotsky	弗拉基米尔·维索茨基
Menez Everest	珠穆朗瑪峰
Korfadurezh	解剖学
Kêr	城市
Napoleon Iañ	拿破仑一世
Olympus Mons	奧林帕斯山 (火星)
Steredenn	恒星
Vesuvio	維蘇威火山
Heol	太阳
Oabl	天空
Louis Pasteur	路易·巴斯德
Bloavezh-gouloù	光年
Victor Hugo	维克多·雨果
Okeania	大洋洲
Giuseppe Garibaldi	朱塞佩·加里波底
Atleterezh	田径
Koskoriad an Heol	太阳系
Mor Baltel	波罗的海
Trieste	的里雅斯特
Stêr Wisła	维斯瓦河
Avenue des Champs-Élysées	香榭丽舍大街
Oder	奧得河
Dant	牙齒
Hidrogen	氢
Patti Smith	帕蒂·史密斯
Heliom	氦
Ifern	地獄
Wikimedia Commons	维基共享资源
Angela Merkel	安格拉·默克爾
Litiom	锂
Beriliom	铍
Levr	图书
Deiz	日
Timor ar Reter	东帝汶
Noz	晚上
Bloaz	年
Kantved	世纪
Łódź	罗兹 (波兰)
Menez Gwenn	勃朗峰
Roen	莱茵河
Oslo	奥斯陆
Bonn	波恩
Gouel an Hollsent	諸聖節
Katowice	卡托维兹
Toull du	黑洞
Luís de Camões	路易·德賈梅士
Gae	男同性戀
Keres (korrblanedenn)	穀神星
Lisbon	里斯本
Ron	罗纳河
Ì Chaluim Chille	愛奧那島
136199 Eris	阋神星
Dubai	杜拜
Lionel Messi	利昂内尔·梅西
Padova	帕多瓦
Bor	硼
Nicolaus Copernicus	尼古拉·哥白尼
Versailhez	凡爾賽鎮
Karbon	碳
Volga	伏尔加河
Nitrogen	氮
Bergamo	贝尔加莫
Oksigen	氧
Football Club Internazionale Milano	国际米兰足球俱乐部
Neil Young	尼爾·楊
Planedenn	行星
Kleopatra VII	克娄巴特拉七世
Kate Bush	凱特·布希
Sonerezh	音乐
Venezia	威尼斯
Naruto	火影忍者
Po	波河
Neva	涅瓦河
Roazhon	雷恩 (伊勒-维莱讷省)
Lille	里尔
Moskov	莫斯科
Fluor	氟
Italianeg	意大利语
Chihuahua (ki)	吉娃娃
Neon	氖
Chihuahua (stad)	奇瓦瓦州
Sant-Petersbourg	圣彼得堡
Tchad	乍得
Sodiom	钠
Norzh	北
Magneziom	镁
Aluminiom	铝
Zeland-Nevez	新西兰
Su	南
India	印度
Silisiom	硅
Frankiom	钫
Tuvalu	圖瓦盧
One Piece	ONE PIECE
Fosfor	磷
André-Marie Ampère	安德烈-馬里·安培
Komz-plaen	散文
Houarn	铁
Tonga	東加
Kornôg	西
Alessandro Volta	亞歷山德羅·伏打
Sulfur	硫
Samoa	萨摩亚
Reter	東
Inizi Salomon	所罗门群岛
Vanuatu	瓦努阿图
Molière	莫里哀
Klor	氯
Delft	代尔夫特
Papoua Ginea-Nevez	巴布亚新几内亚
William Shakespeare	威廉·莎士比亚
Fablenn	寓言
Zuid-Holland	南荷蘭省
Palau	帛琉
Argon	氩
Nauru	諾魯
Mozilla Firefox	Firefox
Kontadenn	童話
Noord-Holland	北荷兰省
Stadoù Kevreet Mikronezia	密克罗尼西亚联邦
Potasiom	钾
Olympique lyonnais	奥林匹克里昂
Zeeland	泽兰省
Kalsiom	钙
Flevoland	弗莱福兰省
Plom	铅
Inizi Marshall	馬紹爾群島
Kiribati	基里巴斯
Mongolia	蒙古国
Fidji	斐濟
Skandiom	钪
