ܐܦܪܝܩܐ	非洲
ܓܙܐܐܪ	阿尔及利亚
ܐܘܙܒܩܣܛܐܢ	乌兹别克斯坦
ܘܐܪܣܘ	华沙
ܚܡܪܐ (ܫܬܝܐ)	葡萄酒
ܡܝܐ	水
ܦܪܣ ܚܙܘܐ	电视
ܬܫܝܠܝ	智利
ܐܠ ܓܪܝܩܘ	格雷考
ܝܫܘܥ	耶稣
ܠܫܢܐ (ܡܡܠܠܐ)	語言
ܫܘܠܛܢ ܛܪܘܢܘܬܐ	獨裁政體
ܡܡܠܠܘܬ ܟܘܟܒܐ	天文學
ܡܪܝܡ (ܐܡܗ ܕܝܫܘܥ)	馬利亞 (耶穌的母親)
ܠܝܟܛܢܫܛܝܢ	列支敦斯登
ܐܕܘܠܦ ܗܝܛܠܪ	阿道夫·希特勒
ܠܝܢܘܟܣ	Linux
ܠܫܢܐ ܠܐܛܝܢܝܐ	拉丁语
ܒܚܪܝܢ	巴林
ܐܪܡܢܝܐ	亞美尼亞
ܣܪܒܝܐ	塞尔维亚
ܣܗܪܐ	月球
ܐܝܣܛܢܒܘܠ (ܡܕܝܢܬܐ)	伊斯坦堡
ܐܘܣܛܪܠܝܐ (ܐܬܪܐ)	澳大利亚
ܦܝܣܝܟ	物理学
ܩܘܪܐܢ	古兰经
ܐܣܠܐܡ	伊斯兰教
ܟܡܬܪܐ	梨
ܠܟ ܒܐܘܢܣܐ	莱赫·瓦文萨
ܫܠܡܐ (ܫܝܢܐ)	和平
ܚܘܝܕܐ ܐܘܪܘܦܝܐ	欧洲联盟
ܐܢܬܬܐ	女性
ܛܝܙܐ	肛门
ܗܒܒܐ	花
ܝܘܠܦܢ ܨܪܘܝܘܬܐ	解剖学
ܡܕܝܢܬܐ	城市
ܢܐܦܠܝܘܢ ܒܘܢܐܦܪܛ	拿破仑一世
ܟܘܟܒܐ	恒星
ܫܡܫܐ	太阳
ܩܪܝܬܐ	村
ܝܡܐ ܕܡܕܢܚܐ	波罗的海
ܫܢܐ	牙齒
ܘܝܩܝܡܝܕܝܐ ܩܘܡܡܘܢܣ	维基共享资源
ܟܬܒܐ (ܣܦܪܐ)	图书
ܝܘܡܐ	日
ܠܠܝܐ	晚上
ܫܢܬܐ (ܙܒܢܐ)	年
ܕܪܐ	世纪
ܐܘܣܠܘ	奥斯陆
ܠܫܒܘܢܐ	里斯本
ܦܠܝܛܐ	行星
ܙܡܪܘܬܐ	音乐
ܡܘܣܩܒܐ	莫斯科
ܠܫܢܐ ܐܝܛܠܝܐ	意大利语
ܬܫܐܕ	乍得
ܬܝܡܢܐ	北
ܢܝܘ ܙܝܠܢܕ	新西兰
ܓܪܒܝܐ	南
ܗܢܕܘ	印度
ܦܪܙܠܐ	铁
ܡܥܪܒܐ	西
ܡܕܢܚܐ	東
ܒܢܙܘܝܠܐ	委內瑞拉
ܛܠܦܣܢܐ	國際象棋
ܡܝܢ	缅因州
ܣܘܣܝܐ	马
ܐܡܣܛܪܕܐܡ	阿姆斯特丹
ܙܝܢܐ	武器
ܚܝܘܬܐ	动物
ܩܘܠܘܡܒܝܐ	哥伦比亚
ܢܝܘ ܗܐܡܦܫܪ	新罕布什尔州
ܠܝܘܢܪܕܘ ܕܗ ܒܢܬܫܝ	列奥纳多·达·芬奇
ܡܐܣܐܬܫܘܣܬܣ	麻薩諸塞州
ܐܘܛܪܝܟܛ (ܗܘܦܪܟܝܐ)	乌得勒支省
ܟܘܢܝܬܝܟܬ	康乃狄克州
ܐܝܪܐܢ	伊朗
ܥܝܪܐܩ	伊拉克
ܐܠܐܣܟܐ	阿拉斯加州
ܐܝܣܪܐܝܠ	以色列
ܐܘܛܪܝܟܛ (ܡܕܝܢܬܐ)	乌得勒支
ܝܡܢ	也门
ܠܫܢܐ ܦܘܠܢܕܝܐ	波兰语
ܝܘܪܕܢܢ	约旦
ܩܝܪܓܝܙܣܛܐܢ	吉尔吉斯斯坦
ܐܪܝܙܘܢܐ	亞利桑那州
ܟܘܘܝܬ (ܐܬܪܐ)	科威特
ܠܒܢܢ	黎巴嫩
ܐܘܪܝܓܘܢ	俄勒冈州
ܐܡܪܝܩܐ	美洲
ܝܘܬܐ	犹他州
ܥܘܡܐܢ	阿曼
ܦܐܩܣܛܐܢ	巴基斯坦
ܩܛܪ	卡塔尔
ܣܥܘܕܝܐ	沙特阿拉伯
ܝܘܣܦ ܣܛܐܠܝܢ	斯大林
ܣܘܪܝܐ	叙利亚
ܛܐܓܝܩܣܛܐܢ	塔吉克斯坦
ܦܪܣ ܩܠܐ	无线电
ܛܘܪܩܡܢܣܛܐܢ	土库曼斯坦
ܐܡܝܪܘܬܐ ܥܪܒܝܬܐ ܡܚܝܕܬܐ	阿拉伯联合酋长国
ܐܦܓܐܢܣܛܐܢ	阿富汗
ܕܗܒܐ	金
ܡܠܝ	马里共和国
ܦܝܠܝܦܝܢܝܐ	菲律宾
ܩܘܛܢܝܘܬܐ ܕܐܦܪܝܩܐ ܡܨܥܝܬܐ	中非共和國
ܐܝܣܚܩ ܢܝܘܛܢ	艾萨克·牛顿
ܫܥܘܬܐ (ܓܘܢܐ)	黄色
ܬܘܢܣ (ܐܬܪܐ)	突尼西亞
ܬܝܡܢܐ ܕܣܘܕܐܢ	南蘇丹
ܩܘܛܢܝܘܬܐ ܕܩܘܢܓܘ	刚果共和国
ܩܘܛܢܝܘܬܐ ܕܩܘܢܓܘ ܕܝܡܘܩܪܛܝܬܐ	刚果民主共和国
ܦܐܦܐ ܝܘܚܢܢ ܦܘܠܘܣ ܬܪܝܢܐ	若望·保祿二世
ܛܒܝܠܝܣܝ	第比利斯
ܩܐܡܪܘܢ	喀麦隆
ܠܘܒܐ	利比亚
ܡܘܪܝܛܢܝܐ	毛里塔尼亚
ܡܓܪܒ	摩洛哥
ܢܝܓܪ	尼日尔
ܣܘܕܐܢ	苏丹共和国
ܩܫܬܐ ܕܡܪܢ	彩虹
ܗܐܡܒܘܪܓ	汉堡
ܝܡܬܐ ܕܐܘܢܛܪܝܘ	安大略湖
ܝܡܬܐ ܕܣܘܦܝܪܝܘܪ	苏必利尔湖
ܓܐܘܓܪܦܝܐ	地理学
ܠܒܐ	心臟
ܡܘܚܐ	脑
ܓܠܕܐ	皮膚
ܓܘܢܐ	颜色
ܦܪܐܓ	布拉格
ܙܪܩܐ	藍色
ܟܣܦܐ (ܣܐܡܐ)	銀
ܡܫܝܓܢ	密歇根州
ܝܡܬܐ ܕܡܝܫܝܓܢ	密歇根湖
ܐܠܝܢܘܝ	伊利诺伊州
ܢܘܪܬ ܕܐܟܘܬܐ	北达科他州
ܣܐܘܬ ܕܐܟܘܬܐ	南达科他州
ܡܘܢܬܐܢܐ	蒙大拿州
ܘܐܝܘܡܝܢܓ	怀俄明州
ܐܘܪܫܠܡ	耶路撒冷
ܐܝܕܐܗܘ	爱达荷州
ܢܝܒܐܕܐ	内华达州
ܐܘܩܝܢܘܣ ܗܢܕܘܝܐ	印度洋
ܟܘܠܘܪܐܕܘ	科羅拉多州
ܫܝܩܓܘ	芝加哥
ܣܬܘܐ	冬季
ܬܕܐܐ	春季
ܩܝܛܐ	夏季
ܬܫܪܝܬܐ	秋季
ܨܕܐܡ ܚܘܣܝܢ	萨达姆·侯赛因
ܠܫܢܐ ܐܣܦܢܝܐ	西班牙语
ܓܘܓܝ	蜘蛛
ܐܒܐ (ܦܐܪܐ)	果实
ܩܘܦܐ	猴
ܒܪܓܝܢܝܐ	弗吉尼亚州
ܝܡܬܐ ܕܝܘܪܘܢ	休伦湖
ܢܝܘ ܝܘܪܩ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	纽约州
ܪܘܕ ܐܝܠܐܢܕ	羅德島州
ܪܚܫܐ	昆虫
ܡܐܪܝܠܐܢܕ	马里兰州
ܕܝܠܐܘܝܪ	特拉华州
ܐܘܗܐܝܘ	俄亥俄州
ܦܢܣܝܠܒܐܢܝܐ	宾夕法尼亚州
ܐܝܛܙܢ	于特森
ܐܓܘܣܛܘܣ ܩܣܪ	奥古斯都
ܢܝܘ ܓܝܪܣܝ	新泽西州
ܐܢܕܝܐܢܐ	印第安纳州
ܪܕܝܬܐ	汽车
ܓܘܪܓܝܐ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	喬治亞州
ܣܩܠܝܐ	西西里岛
ܣܢ (ܢܗܪܐ)	塞纳河
ܛܘܩܝܘ	東京都
ܦܪܕܝܢܢܕ ܡܓܝܠܢ	斐迪南·麥哲倫
ܢܝܘ ܡܝܟܣܝܟܘ	新墨西哥州
ܐܬܢܘܣ	雅典
ܡܢܝܣܘܬܐ	明尼蘇達州
ܒܓܕܐܕ (ܡܕܝܢܬܐ)	巴格达
ܘܝܣܟܘܢܣܢ	威斯康辛州
ܐܝܐܘܐ	艾奥瓦州
ܢܝܒܪܐܣܟܐ	內布拉斯加州
ܟܐܢܣܐܣ	堪薩斯州
ܡܝܙܘܪܝ	密蘇里州
ܐܪܟܢܣܐܣ	阿肯色州
ܠܫܢܐ ܕܐܘܪܕܘ	乌尔都语
ܐܘܟܠܐܗܘܡܐ	奧克拉荷馬州
ܝܡܐ ܕܓܪܒܝܐ	北海 (大西洋)
ܒܝܝܢܐ	維也納
ܩܘܦܢܗܐܓܢ	哥本哈根
ܣܛܘܩܗܘܠܡ	斯德哥尔摩
ܗܠܣܢܩܝ	赫尔辛基
ܕܒܠܢ	都柏林
ܒܪܛܝܣܠܐܒܐ	布拉迪斯拉发
ܟܬܒܐ ܩܕܝܫܐ	聖經
ܥܕܬܐ ܫܪܝܪܬܐ ܕܝܫܘܥ	真耶稣教会
ܠܫܢܐ ܐܢܓܠܝܐ	英语
ܩܘܢܣܦܣܝܘܢ (ܬܫܝܠܝ)	康塞普西翁 (智利)
ܐܘܢܛܐܪܝܘ	安大略
ܡܐܢܝܛܘܒܐ	曼尼托巴
ܐܠܒܪܛܐ	艾伯塔
ܢܘܒܐ ܣܩܘܛܝܐ	新斯科舍
ܩܘܢܣܩܘܒܘܠܐ	孔斯科沃拉
ܢܝܘ ܒܪܘܢܙܘܝܩ	新不倫瑞克
ܩܘܠܘܡܒܝܐ ܒܪܝܛܝܬܐ	不列颠哥伦比亚
ܓܙܪܬܐ ܕܐܡܝܪܐ ܐܕܘܐܪܕ	愛德華王子島
ܣܐܣܩܐܬܫܘܐܢ	薩斯喀徹溫
2012	2012年
2011	2011年
2010	2010年
2009	2009年
ܢܝܘܦܐܘܢܕܠܢܕ ܘܠܐܒܪܐܕܘܪ	紐芬蘭與拉布拉多
2008	2008年
ܐܘܚܕܢܐ ܓܪܒܝܝܐ-ܡܥܪܒܝܐ	西北地区 (加拿大)
ܝܘܩܘܢ	育空
2005	2005年
2006	2006年
ܢܘܢܐܒܘܛ	努納武特
2007	2007年
ܡܐܟܘܠܬܐ	食物
ܚܘܝܐ	蛇
ܩܘܪܘܦ	库鲁夫
ܟܝܡܝܐ	化學
1968	1968年
ܩܛܠܥܡܐ ܝܗܘܕܝܐ	納粹大屠殺
ܡܕܪܝܕ (ܡܕܝܢܬܐ)	马德里
ܗܘܦܪܟܝܣ ܘܐܘܚܕܢܐ ܕܩܢܕܐ	加拿大行政区划
ܣܢܛܝܐܓܘ ܕܐ ܬܫܝܠܝ	圣地亚哥-德智利
ܚܐܪܘܬܐ	自由
ܣܝܕܢܝ	悉尼
ܝܪܘܩܐ	綠色
ܡܠܒܘܪܢ	墨尔本
ܣܘܡܩܐ	红色
ܢܘܪܐ (ܕܠܩܐ)	火
ܢܝܠܘܣ	尼罗河
ܓܙܐܐܪ (ܡܕܝܢܬܐ)	阿爾及爾
ܬܘܢܣ (ܡܕܝܢܬܐ)	突尼斯市
ܛܗܪܐܢ	德黑兰
ܐܢܩܪܐ	安卡拉
ܢܝܐܡܝ	尼亞美
ܒܡܩܘ	巴馬科
ܕܪܡܣܘܩ	大马士革
ܥܡܐܢ	安曼
ܒܝܪܘܬ	贝鲁特
ܒܝܬ ܨܘܒܐ	大學
ܒܝܬܐ (ܒܢܝܢܐ)	住宅
ܐܘܣܛܪܠܝܐ (ܝܒܫܬܐ)	澳大利亞洲
ܢܗܪܐ	河流
ܪܝܫܐ ܕܣܒܪܐ ܛܒܐ	好望角
ܫܘܚܡܠܐ	投资
ܩܘܪܝܛܝܒܐ	庫里奇巴
ܥܒܐ	森林
ܩܘܢܦܘܫܝܘܣ	孔子
ܩܢܐ	巢
ܐܘܪܘ	欧元
ܝܡܐ ܚܘܪܐ ܡܨܥܝܐ	地中海
ܓܘܪܓܝܐ	喬治亞 (消歧義)
ܡܫܝܚܝܘܬܐ	基督教
ܩܠܒܐ:ܐܘܝܐ	Template:Support
ܪܘܙܐ	稻
ܝܒܫܬܐ	洲
ܛܝܪܐ	鸟
ܐܪܫܟܝܬܐ	首都
ܠܫܢܐ ܦܘܪܛܘܓܠܝܐ	葡萄牙語
ܝܪܚܐ	月
ܡܘܨܛܦܐ ܟܡܐܠ ܐܛܐܛܘܪܩ	穆斯塔法·凯末尔·阿塔蒂尔克
ܐܠܡܐܙܢ	艾爾瑪善鎮
ܠܫܢܐ ܝܦܢܝܐ	日语
ܦܐܬܐ ܪܝܫܝܬܐ	Wikipedia:首页
ܦܪܢܣܝܣܩܘ ܓܘܝܐ	弗朗西斯科·戈雅
ܝܡܐ ܐܚܪܝܐ	裏海
ܝܡܬܐ ܕܐܝܪܝ	伊利湖
ܣܠܒܐܕܘܪ ܕܐܠܝ	萨尔瓦多·达利
ܒܢܣܢܬ ܦܢ ܟܘܟ	文森特·梵高
ܦܪܝܕܐ ܩܐܠܘ	芙烈達·卡蘿
ܗܢܪܝ ܡܐܛܝܣ	亨利·马蒂斯
ܡܝܟܠܐܢܓܠܘ	米开朗基罗
ܦܒܠܘ ܦܝܩܐܣܘ	巴勃羅·畢卡索
ܪܡܒܪܢܛ	伦勃朗
ܐܢܕܝ ܘܘܪܗܘܠ	安迪·沃荷
ܢܝܢܘܐ (ܡܕܝܢܬܐ)	尼尼微
ܒܒܠ	巴比伦
ܐܝܪܝܚܘ	杰里科
ܩܛܠܘܢܝܐ	加泰罗尼亚
ܡܕܪܝܕ (ܗܘܦܪܟܝܐ)	马德里自治区
ܒܝܬ ܠܚܡ	伯利恆
ܣܕܪܐ:Candidates for speedy deletion	Category:快速删除候选
ܪܫܡܠܘܬܐ	资本主义
ܐܘܡܬܐ	民族
ܩܪܬܐܓܘ	迦太基
ܣܕܪܐ:ܐܣܛܪܘܢܘܡܝܐ	Category:天文学
ܨܚܪܐܐ	撒哈拉沙漠
ܫܐܕܐ	魔鬼
ܒܝܬ ܟܬܒܐ	图书馆
ܫܘܠܛܢܘܬܐ (ܫܘܬܐܣܐ)	政府
ܬܫܝܢ ܫܝ ܗܘܐܢܓ	秦始皇
ܡܕܢܚܐ ܡܨܥܝܬܐ	中东
ܡܠܟܘܬܐ	君主制
ܩܘܛܢܝܘܬܐ	共和制
ܐܬܪܐ	國 (政治)
ܓܒܐ	政党
ܝܗܘܕܝܐ	犹太人
ܝܡܡܬܐ ܪܘܪܒܬܐ	五大湖
ܐܘܩܝܢܘܣ ܬܝܡܢܝܐ	南冰洋
ܐܕܢܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	耳
ܢܚܝܪܐ	鼻
ܥܝܢܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	眼
ܥܘܩܒܪܬܐ	肌肉
ܙܡܝܪܬܐ	歌曲
ܓܡܠܐ	骆驼
ܫܘܫܡܢܐ	蚂蚁
ܕܒܫܬܐ	蜂族
ܠܫܢܐ ܗܘܠܢܕܝܐ	荷蘭語
ܐܡܐ (ܒܝܬܝܘܬܐ)	母親
ܐܒܐ (ܒܝܬܝܘܬܐ)	父親
1847	1847年
ܨܦܪܐ (ܙܒܢܐ)	早晨
ܪܡܫܐ	傍晚
ܩܛܝܢܬܐ	分 (时间单位)
ܠܫܢܐ ܪܘܣܝܐ	俄语
ܩܢܘܢܐ	法律
ܠܫܢܐ ܨܝܢܝܐ	汉语
ܕܡܐ	血液
ܬܓܪܘܡܬܐ	骨骼系統
ܪܐܬܐ	肺
ܠܫܢܐ ܪܘܡܢܝܐ	羅馬尼亞語
ܡܛܪܐ	雨
ܢܠܣܘܢ ܡܐܢܕܝܠܐ	纳尔逊·曼德拉
ܐܒܢܐ	岩石
ܥܢܢܐ	云
ܩܢܘܢܐ ܕܠܥܙܐ	语法
ܠܫܢܐ ܓܘܪܓܝܐ	格鲁吉亚语
ܝܘܠܦܢ ܡܡܫܚܘܬܐ	经济学
ܙܘܙܐ	通貨
ܡܕܐܬܐ	稅
ܐܠܦܒܝܬ ܥܪܒܝܐ	阿拉伯字母
ܐܠܦܒܝܬ ܝܘܢܝܐ	希腊字母
ܐܠܦܒܝܬ ܠܐܛܝܢܝܐ	拉丁字母
ܣܕܪܐ:ܦܪܢܣܐ	Category:法国
ܟܢܫܐ	社会
ܓܒܪܐ	男性
ܙܘܘܓܐ	婚姻
ܙܕܩܐ ܕܒܪܢܫܐ	人权
ܩܪܒܐ ܓܘܝܐ	内战
ܓܪܡܐ ܕܣܢܘܢܝܬܐ	胸骨
ܬܪܝܢܐ	果汁
ܚܠܒܐ (ܕܝܘܒܐ)	乳
ܛܘܪܐ	山
ܡܕܒܪܐ	荒漠
ܠܫܢܐ ܐܠܒܢܝܐ	阿尔巴尼亚语
ܠܫܢܐ ܐܪܡܢܝܐ	亚美尼亚语
ܝܘܗܐܢ ܓܘܛܢܒܪܓ	约翰内斯·古腾堡
ܠܫܢܐ ܣܘܝܕܝܐ	瑞典語
ܢܝܩܘܠܐ ܛܣܠܐ	尼古拉·特斯拉
ܡܘܫܐ	摩西
ܬܕܐ	乳房
ܢܘܗܪܐ (ܚܙܝܬܐ)	光
ܠܫܢܐ ܝܘܢܝܐ	希腊语
ܠܫܢܐ ܦܪܣܝܐ	波斯语
ܬܘܕܝܬܐ	宗教
ܐܒܪܗܡ	亞伯拉罕
ܣܦܪܐ ܕܒܪܝܬܐ	創世記
ܠܫܢܐ ܩܢܛܘܢܝܐ	广州话
ܠܫܢܐ ܡܢܕܪܝܢܝܐ	官话
ܦܘܠܘܣ ܫܠܝܚܐ	保罗 (使徒)
ܙܝܓܡܘܢܕ ܦܪܘܝܕ	西格蒙德·弗洛伊德
ܙܠܛܐ	沙律
ܝܗܘܕܝܘܬܐ	犹太教
ܠܫܢܐ ܥܒܪܝܐ	希伯来语
ܟܒܕܐ	肝臟
ܛܚܠܐ	脾脏
ܟܘܠܝܬܐ	腎
ܫܠܦܘܚܬܐ	膀胱
ܐܫܟܐ	睾丸
ܐܘܩܝܢܘܣ	洋
ܒܘܕܗܐ	释迦牟尼
ܡܘܚܡܕ	穆罕默德
ܟܪܣܐ	腹
ܚܒܠܐ ܟܘܒܝܐ	脊髓
ܘܪܝܕܐ	静脉
ܡܪܒܥܐ	子宫
ܠܫܢܐ (ܗܕܡܐ)	舌
ܓܝܕܐ	神经
ܨܘܪܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	頸
ܦܘܡܐ	口腔
ܓܓܪܬܐ	喉頭
ܡܥܝܐ	腸臟
ܫܪܝܬܐ	关节
ܬܝܪܬܐ	腺
ܚܠܒܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	橫膈膜
ܫܪܝܢܐ	动脉
A	A
B	B
ܢܘܛܦܬܐ	精液
G	G
U	U
Z	Z
F	F
J	J
ܐܠܦܒܝܬ	字母系統
T	T
C	C
R	R
D	D
Α	Α
Ω	Ω
I	I
Μ	Μ
E	E
H	H
ܗܐܪܠܡ (ܗܘܠܢܕܐ)	哈勒姆
K	K
L	L
M	M
N	N
O	O
Q	Q
S	S
V	V
W	W
X	X
Y	Y
ܐܢܫܟܕܐ	恩斯赫德
ܗܢܓܠܘ	亨厄洛
Φ	Φ
ܝܘܢܐ	鸠鸽科
ܐܝܠܢܐ	树
Λ	Λ
ܓܒܬܐ	乾酪
ܥܢܒܬܐ	葡萄
ܕܒܫܐ	蜂蜜
ܒܣܪܐ	肉类食物
ܫܟܪ	食糖
ܣܦܪܙܒܢܐ	報紙
ܙܥܘܩܐ	电话
ܡܪܕܘܬܐ	文化
ܡܥܝܐ ܥܒܝܐ	大肠
ܡܥܝܐ ܩܛܝܢܐ	小肠
ܣܘܪܓܕܐ ܝܘܠܝܝܐ	儒略曆
ܐܣܝܘܬܐ	医学
ܡܠܚܐ (ܐܨܪܐ)	食盐
ܣܕܪܐ:ܒܪܐܙܝܠ	Category:巴西
ܙܘܝܬܐ (ܡܚܪܘܬܐ)	角
ܬܘܩܦܐ	能量
ܣܦܝܢܬܐ	船
ܩܠܐ (ܨܘܬܐ)	声音
ܙܓܘܓܝܬܐ	玻璃
ܫܛܝܚܘܬܐ	面积
ܡܢܝܢܐ	数
ܪܦܦܐ	秒
ܣܥܪܬܐ	大麦
ܘܘܗܐܢ	武汉市
ܡܟܬܒܢܘܬܐ ܕܐܬܪܘܬܐ	世界政區索引
ܒܝܬ ܢܗܪܝܢ	美索不达米亚
ܕܒܐ	熊科
ܬܠܗܝܐ	癌症
ܚܛܬܐ	小麦
ܣܘܪܓܕܐ	历法
ܟܘܪܗܢܐ	疾病
ܣܘܪܓܕܐ ܓܪܝܓܘܪܝܐ	公历
ܟܦܣܐ	月經
ܥܡܐ ܩܪܕܘܝܐ	库尔德人
ܓܫܪܐ	橋
ܡܓܕܠܐ (ܒܢܝܢܐ)	塔式建築
ܐܡܪܝܩܐ ܠܐܛܝܢܝܬܐ	拉丁美洲
ܟܗܪܒܐ	電
ܡܙܝܥܢܐ ܕܩܝܕܐ ܓܘܝܐ	内燃机
ܣܝܦܐ (ܙܝܢܐ)	劍
ܫܡܥܘܢ ܩܢܢܝܐ	奮銳黨的西門
ܩܪܩܦܬܐ	颅骨
ܓܘܡܠܐ!	Joomla!
ܐܦܫܬܐ	葡萄乾
ܠܫܢܐ ܕܗܣܝܐܢܓ	湘语
ܠܫܢܐ ܥܪܒܝܐ	阿拉伯语
ܠܫܢܐ ܐܦܪܝܩܐܢܝܐ	南非語
Β	Β
Γ	Γ
Δ	Δ
