Áfríkà	非洲
2636 Lassell	小行星2636
2638 Gadolin	小行星2638
2639 Planman	小行星2639
2640 Hällström	小行星2640
Ìtàn ilẹ̀ Áfríkà	非洲歷史
264 Libussa	小行星264
2642 Vésale	小行星2642
2646 Abetti	小行星2646
2650 Elinor	小行星2650
265 Anna	小行星265
2651 Karen	小行星2651
2652 Yabuuti	小行星2652
2655 Guangxi	小行星2655
2662 Kandinsky	小行星2662
266 Aline	小行星266
2663 Miltiades	小行星2663
2665 Schrutka	小行星2665
2666 Gramme	小行星2666
267 Tirza	小行星267
2676 Aarhus	小行星2676
2677 Joan	小行星2677
2678 Aavasaksa	小行星2678
2679 Kittisvaara	小行星2679
2688 Halley	小行星2688
2689 Bruxelles	小行星2689
269 Justitia	小行星269
2690 Ristiina	小行星2690
2693 Yan'an	小行星2693
270 Anahita	小行星270
27 Euterpe	司箫星
271 Penthesilea	小行星271
2711 Aleksandrov	小行星2711
2712 Keaton	小行星2712
2713 Luxembourg	小行星2713
2714 Matti	小行星2714
2715 Mielikki	小行星2715
2716 Tuulikki	小行星2716
2717 Tellervo	小行星2717
2719 Suzhou	小行星2719
272 Antonia	小行星272
2729 Urumqi	小行星2729
2731 Cucula	小行星2731
273 Atropos	小行星273
2732 Witt	小行星2732
2733 Hamina	小行星2733
2737 Kotka	小行星2737
2738 Viracocha	小行星2738
2743 Chengdu	小行星2743
274 Philagoria	小行星274
2750 Loviisa	小行星2750
275 Sapientia	小行星275
2752 Wu Chien-Shiung	小行星2752
2758 Cordelia	小行星2758
2765 Dinant	小行星2765
276 Adelheid	小行星276
2774 Tenojoki	小行星2774
277 Elvira	小行星277
2778 Tangshan	小行星2778
278 Paulina	小行星278
2782 Leonidas	小行星2782
2789 Foshan	小行星2789
279 Thule	小行星279
2790 Needham	小行星2790
2798 Vergilius	小行星2798
2799 Justus	小行星2799
28 Bellona	战神星
280 Philia	小行星280
2800 Ovidius	小行星2800
2802 Weisell	小行星2802
2803 Vilho	小行星2803
2804 Yrjö	小行星2804
2805 Kalle	小行星2805
2819 Ensor	小行星2819
282 Clorinde	小行星282
2820 Iisalmi	小行星2820
2823 van der Laan	小行星2823
2825 Crosby	小行星2825
2826 Ahti	小行星2826
2827 Vellamo	小行星2827
2828 Iku-Turso	小行星2828
283 Emma	小行星283
2831 Stevin	小行星2831
2840 Kallavesi	小行星2840
284 Amalia	小行星284
2841 Puijo	小行星2841
2843 Yeti	小行星2843
2846 Ylppö	小行星2846
2851 Harbin	小行星2851
285 Regina	小行星285
2857 NOT	小行星2857
2859 Paganini	小行星2859
2865 Laurel	小行星2865
2868 Upupa	小行星2868
2867 Šteins	小行星2867
2875 Lagerkvist	小行星2875
287 Nephthys	小行星287
2880 Nihondaira	小行星2880
288 Glauke	小行星288
2885 Palva	小行星2885
2886 Tinkaping	小行星2886
289 Nenetta	小行星289
2898 Neuvo	小行星2898
2899 Runrun Shaw	小行星2899
290 Bruna	小行星290
2903 Zhuhai	小行星2903
2906 Caltech	小行星2906
2907 Nekrasov	小行星2907
2911 Miahelena	小行星2911
2912 Lapalma	小行星2912
2913 Horta	小行星2913
2914 Glärnisch	小行星2914
292 Ludovica	小行星292
2921 Sophocles	小行星2921
29227 Wegener	小行星29227
2927 Alamosa	小行星2927
293 Brasilia	小行星293
2934 Aristophanes	小行星2934
294 Felicia	小行星294
2940 Bacon	小行星2940
29401 Asterix	小行星29401
2945 Zanstra	小行星2945
2946 Muchachos	小行星2946
2950 Rousseau	小行星2950
295 Theresia	小行星295
2962 Otto	小行星2962
296 Phaëtusa	小行星296
2963 Chen Jiageng	小行星2963
2970 Pestalozzi	小行星2970
297 Caecilia	小行星297
2972 Niilo	小行星2972
2973 Paola	小行星2973
2986 Mrinalini	小行星2986
298 Baptistina	小行星298
2987 Sarabhai	小行星2987
2988 Korhonen	小行星2988
2989 Imago	小行星2989
299 Thora	小行星299
2992 Vondel	小行星2992
2997 Cabrera	小行星2997
Santiago Ramón y Cajal	圣地亚哥·拉蒙-卡哈尔
30 Urania	司天星
Franz von Papen	弗朗茨·馮·帕彭
3001 Michelangelo	小行星3001
300 Geraldina	小行星300
3002 Delasalle	小行星3002
3004 Knud	小行星3004
3007 Reaves	小行星3007
3009 Coventry	小行星3009
3010 Ushakov	小行星3010
301 Bavaria	小行星301
3011 Chongqing	小行星3011
3012 Minsk	小行星3012
3014 Huangsushu	小行星3014
3018 Godiva	小行星3018
3019 Kulin	小行星3019
3021 Lucubratio	小行星3021
302 Clarissa	小行星302
Camillo Golgi	卡米洛·高尔基
3022 Dobermann	小行星3022
3023 Heard	小行星3023
3024 Hainan	小行星3024
3026 Sarastro	小行星3026
George Carlin	喬治·卡林
3028 Zhangguoxi	小行星3028
3030 Vehrenberg	小行星3030
303 Josephina	小行星303
3032 Evans	小行星3032
3034 Climenhaga	小行星3034
3036 Krat	小行星3036
Porfirio Díaz	波费里奥·迪亚斯
3037 Alku	小行星3037
3039 Yangel	小行星3039
304 Olga	小行星304
3041 Webb	小行星3041
Charles 2k	胖子查理
3046 Molière	小行星3046
3048 Guangzhou	小行星3048
3050 Carrera	小行星3050
305 Gordonia	小行星305
3051 Nantong	小行星3051
3052 Herzen	小行星3052
3060 Delcano	小行星3060
3061 Cook	小行星3061
3062 Wren	小行星3062
3067 Akhmatova	小行星3067
3070 Aitken	小行星3070
307 Nike	小行星307
3072 Vilnius	小行星3072
3080 Moisseiev	小行星3080
308 Polyxo	小行星308
3084 Kondratyuk	小行星3084
3088 Jinxiuzhonghua	小行星3088
3089 Oujianquan	小行星3089
3091 van den Heuvel	小行星3091
309 Fraternitas	小行星309
3092 Herodotus	小行星3092
3093 Bergholz	小行星3093
3097 Tacitus	小行星3097
3098 van Sprang	小行星3098
Colin Powell	克林·鲍威尔
3099 Hergenrother	小行星3099
31 Euphrosyne	丽神星
310 Margarita	小行星310
3106 Morabito	小行星3106
311 Claudia	小行星311
312 Pierretta	小行星312
3124 Kansas	小行星3124
313 Chaldaea	小行星313
3132 Landgraf	小行星3132
3134 Kostinsky	小行星3134
3136 Anshan	小行星3136
3139 Shantou	小行星3139
314 Rosalia	小行星314
3142 Kilopi	小行星3142
Gene Hackman	金·哈克曼
3164 Prast	小行星3164
3166 Klondike	小行星3166
3171 Wangshouguan	小行星3171
317 Roxane	小行星317
3173 McNaught	小行星3173
3174 Alcock	小行星3174
3181 Ahnert	小行星3181
318 Magdalena	小行星318
3184 Raab	小行星3184
3187 Dalian	小行星3187
Frédéric Joliot-Curie	弗雷德里克·约里奥-居里
3192 A'Hearn	小行星3192
319 Leona	小行星319
3193 Elliot	小行星3193
320 Katharina	小行星320
32 Pomona	果神星
3201 Sijthoff	小行星3201
3202 Graff	小行星3202
3206 Wuhan	小行星3206
3211 Louispharailda	小行星3211
321 Florentina	小行星321
3212 Agricola	小行星3212
3218 Delphine	小行星3218
3220 Murayama	小行星3220
322 Phaeo	小行星322
3221 Changshi	小行星3221
3222 Liller	小行星3222
3223 Forsius	小行星3223
3226 Plinius	小行星3226
3228 Pire	小行星3228
3229 Solnhofen	小行星3229
3239 Meizhou	小行星3239
323 Brucia	小行星323
324 Bamberga	小行星324
3241 Yeshuhua	小行星3241
3245 Jensch	小行星3245
3251 Eratosthenes	小行星3251
3254 Bus	小行星3254
3258 Somnium	小行星3258
326 Tamara	小行星326
3271 Ul	小行星3271
327 Columbia	小行星327
3272 Tillandz	小行星3272
3275 Oberndorfer	小行星3275
3277 Aaronson	小行星3277
3279 Solon	小行星3279
3281 Maupertuis	小行星3281
3290 Azabu	小行星3290
329 Svea	小行星329
3292 Sather	小行星3292
3293 Rontaylor	小行星3293
3294 Carlvesely	小行星3294
3297 Hong Kong	小行星3297
330 Adalberta	小行星330
33 Polyhymnia	司瑟星
3300 McGlasson	小行星3300
3314 Beals	小行星3314
331 Etheridgea	小行星331
3316 Herzberg	小行星3316
3318 Blixen	小行星3318
3329 Golay	小行星3329
332 Siri	小行星332
3335 Quanzhou	小行星3335
333 Badenia	小行星333
334 Chicago	小行星334
3346 Gerla	小行星3346
335 Roberta	小行星335
3350 Scobee	小行星3350
3352 McAuliffe	小行星3352
6665 Kagawa	小行星6665
3355 Onizuka	小行星3355
6699 Igaueno	小行星6699
6660 Matsumoto	小行星6660
3356 Resnik	小行星3356
(6725) 1991 DS	小行星6725
(6721) 1990 VY6	小行星6721
6659 Pietsch	小行星6659
336 Lacadiera	小行星336
Thomas Carlyle	托马斯·卡莱尔
George Marshall	乔治·卡特莱特·马歇尔
3377 Lodewijk	小行星3377
337 Devosa	小行星337
3378 Susanvictoria	小行星3378
338 Budrosa	小行星338
3380 Awaji	小行星3380
3381 Mikkola	小行星3381
3388 Tsanghinchi	小行星3388
3394 Banno	小行星3394
3396 Muazzez	小行星3396
3398 Stättmayer	小行星3398
34 Circe	巫神星
340 Eduarda	小行星340
3400 Aotearoa	小行星3400
3405 Daiwensai	小行星3405
3409 Abramov	小行星3409
3416 Dorrit	小行星3416
3421 Yangchenning	小行星3421
342 Endymion	小行星342
3425 Hurukawa	小行星3425
3426 Seki	小行星3426
3427 Szentmártoni	小行星3427
Frederick Sanger	弗雷德里克·桑格
3437 Kapitsa	小行星3437
343 Ostara	小行星343
344 Desiderata	小行星344
3449 Abell	小行星3449
345 Tercidina	小行星345
3462 Zhouguangzhao	小行星3462
346 Hermentaria	小行星346
3463 Kaokuen	小行星3463
3468 Urgenta	小行星3468
Ìrànwọ́:Báwo lẹṣe le ṣe àtúnṣe ojúewé	Help:编辑页面
3476 Dongguan	小行星3476
347 Pariana	小行星347
3485 Barucci	小行星3485
348 May	小行星348
3491 Fridolin	小行星3491
349 Dembowska	小行星349
3494 Purple Mountain	小行星3494
3497 Innanen	小行星3497
3499 Hoppe	小行星3499
35 Leukothea	沉神星
350 Ornamenta	小行星350
3500 Kobayashi	小行星3500
Nicolas Steno	尼古拉斯·斯坦诺
3502 Huangpu	小行星3502
3508 Pasternak	小行星3508
Süleyman Demirel	苏莱曼·德米雷尔
3509 Sanshui	小行星3509
Celâl Bayar	杰拉勒·拜亚尔
3513 Quqinyue	小行星3513
351 Yrsa	小行星351
François Englert	弗朗索瓦·恩格勒
3519 Ambiorix	小行星3519
3522 Becker	小行星3522
3524 Schulz	小行星3524
353 Ruperto-Carola	小行星353
3534 Sax	小行星3534
Constantine 2k ilẹ̀ Gríìsì	康斯坦丁二世 (希腊)
3538 Nelsonia	小行星3538
3539 Weimar	小行星3539
354 Eleonora	小行星354
3542 Tanjiazhen	小行星3542
3543 Ningbo	小行星3543
Semerkhet	瑟莫赫特
3551 Verenia	小行星3551
STS-59	STS-59
Eduard Kokoity	爱德华·贾巴耶维奇·科科伊季
355 Gabriella	小行星355
Frederik Willem de Klerk	弗雷德里克·威廉·戴克拉克
3552 Don Quixote	小行星3552
Hotepsekhemwy	霍特普塞海姆威
Qa'a	卡 (法老)
Den (fáráò)	登
3556 Lixiaohua	小行星3556
Nynetjer	尼内特吉
Djet	傑特 (法老)
3560 Chenqian	小行星3560
356 Liguria	小行星356
3563 Canterbury	小行星3563
3567 Alvema	小行星3567
3568 ASCII	小行星3568
Pápá Ọkọ̀ Òfurufú Pleiku	波來古機場
3570 Wuyeesun	小行星3570
357 Ninina	小行星357
3573 Holmberg	小行星3573
358 Apollonia	小行星358
3582 Cyrano	小行星3582
3590 Holst	小行星3590
3597 Kakkuri	小行星3597
Fernando Lugo	費爾南多·盧戈
360 Carlova	小行星360
3604 Berkhuijsen	小行星3604
3605 Davy	小行星3605
3606 Pohjola	小行星3606
3609 Liloketai	小行星3609
Pópù Benedict 1k	教宗本笃一世
361 Bononia	小行星361
3611 Dabu	小行星3611
Pópù Pelagius 2k	教宗柏拉奇二世
3613 Kunlun	小行星3613
362 Havnia	小行星362
George Papandreou	乔治·帕潘德里欧
3626 Ohsaki	小行星3626
363 Padua	小行星363
3641 Williams Bay	小行星3641
3643 Tienchanglin	小行星3643
3644 Kojitaku	小行星3644
Leonel Fernández	莱昂内尔·费尔南德斯
3650 Kunming	小行星3650
365 Corduba	小行星365
3654 AAS	小行星3654
366 Vincentina	小行星366
3663 Tisserand	小行星3663
3664 Anneres	小行星3664
367 Amicitia	小行星367
Josephine Baker	約瑟芬·貝克
3678 Mongmanwai	小行星3678
Pierre Laval	皮埃尔·赖伐尔
3683 Baumann	小行星3683
368 Haidea	小行星368
369 Aëria	小行星369
3693 Barringer	小行星3693
370 Modestia	小行星370
3704 Gaoshiqi	小行星3704
3707 Schröter	小行星3707
3718 Dunbar	小行星3718
3722 Urata	小行星3722
372 Palma	小行星372
3729 Yangzhou	小行星3729
3734 Waland	小行星3734
373 Melusina	小行星373
Yousaf Raza Gillani	优素福·拉扎·吉拉尼
3745 Petaev	小行星3745
374 Burgundia	小行星374
3746 Heyuan	小行星3746
3749 Balam	小行星3749
3752 Camillo	小行星3752
375 Ursula	小行星375
3755 Lecointe	小行星3755
3761 Romanskaya	小行星3761
376 Geometria	小行星376
3768 Monroe	小行星3768
377 Campania	小行星377
3771 Alexejtolstoj	小行星3771
3776 Vartiovuori	小行星3776
378 Holmia	小行星378
3780 Maury	小行星3780
3784 Chopin	小行星3784
3790 Raywilson	小行星3790
3792 Preston	小行星3792
3798 de Jager	小行星3798
38 Leda	卵神星
380 Fiducia	小行星380
August Krogh	奧古斯特·克羅
3807 Pagels	小行星3807
3808 Tempel	小行星3808
3811 Karma	小行星3811
381 Myrrha	小行星381
3812 Lidaksum	小行星3812
3825 Nürnberg	小行星3825
382 Dodona	小行星382
Tiye	泰伊王后
384 Burdigala	小行星384
3844 Lujiaxi	小行星3844
3851 Alhambra	小行星3851
385 Ilmatar	小行星385
3859 Börngen	小行星3859
386 Siegena	小行星386
3868 Mendoza	小行星3868
387 Aquitania	小行星387
3872 Akirafujii	小行星3872
3877 Braes	小行星3877
388 Charybdis	小行星388
3881 Doumergua	小行星3881
3883 Verbano	小行星3883
3884 Alferov	小行星3884
3887 Gerstner	小行星3887
3889 Menshikov	小行星3889
Carl Gustaf Emil Mannerheim	卡尔·古斯塔夫·埃米尔·曼纳海姆
3890 Bunin	小行星3890
389 Industria	小行星389
3892 Dezsö	小行星3892
3896 Pordenone	小行星3896
3897 Louhi	小行星3897
Kgalema Motlanthe	卡莱马·莫特兰蒂
3899 Wichterle	小行星3899
39 Laetitia	喜神星
László Sólyom	绍约姆·拉斯洛
3901 Nanjingdaxue	小行星3901
3902 Yoritomo	小行星3902
3907 Kilmartin	小行星3907
3908 Nyx	小行星3908
3911 Otomo	小行星3911
3915 Fukushima	小行星3915
3917 Franz Schubert	小行星3917
Fouad Mebazaa	福阿德·迈巴扎
392 Wilhelmina	小行星392
3924 Birch	小行星3924
Djer	哲尔
3928 Randa	小行星3928
Ismail Haniyeh	伊斯梅尔·哈尼亚
Mohamed Nasheed	穆罕默德·纳希德
393 Lampetia	小行星393
3936 Elst	小行星3936
Joan Miró	胡安·米羅
Theodor Adorno	狄奧多·阿多諾
395 Delia	小行星395
394 Arduina	小行星394
Alfred Adler	阿尔弗雷德·阿德勒
3953 Perth	小行星3953
3957 Sugie	小行星3957
3958 Komendantov	小行星3958
3960 Chaliubieju	小行星3960
396 Aeolia	小行星396
397 Vienna	小行星397
398 Admete	小行星398
399 Persephone	小行星399
Alva Myrdal	阿尔瓦·默达尔
2811 Střemchoví	小行星2811
40 Harmonia	谐神星
Gunnar Myrdal	贡纳尔·默达尔
4001 Ptolemaeus	小行星4001
400 Ducrosa	小行星400
4002 Shinagawa	小行星4002
4003 Schumann	小行星4003
4004 List'ev	小行星4004
4005 Dyagilev	小行星4005
4006 Sandler	小行星4006
4008 Corbin	小行星4008
4009 Drobyshevskij	小行星4009
4010 Nikol'skij	小行星4010
401 Ottilia	小行星401
4011 Bakharev	小行星4011
4012 Geballe	小行星4012
4013 Ogiria	小行星4013
4014 Heizman	小行星4014
4016 Sambre	小行星4016
4017 Disneya	小行星4017
4018 Bratislava	小行星4018
4019 Klavetter	小行星4019
4020 Dominique	小行星4020
3628 Božněmcová	小行星3628
402 Chloë	小行星402
4021 Dancey	小行星4021
Alfredo Stroessner	阿尔弗雷多·斯特罗斯纳
4022 Nonna	小行星4022
4023 Jarník	小行星4023
4024 Ronan	小行星4024
4025 Ridley	小行星4025
4026 Beet	小行星4026
4027 Mitton	小行星4027
4028 Pancratz	小行星4028
4029 Bridges	小行星4029
4030 Archenhold	小行星4030
403 Cyane	小行星403
4031 Mueller	小行星4031
4032 Chaplygin	小行星4032
4036 Whitehouse	小行星4036
4037 Ikeya	小行星4037
4038 Kristina	小行星4038
4039 Souseki	小行星4039
4040 Purcell	小行星4040
404 Arsinoë	小行星404
4041 Miyamotoyohko	小行星4041
4042 Okhotsk	小行星4042
4043 Perolof	小行星4043
4044 Erikhøg	小行星4044
4045 Lowengrub	小行星4045
4046 Swain	小行星4046
4047 Chang'E	小行星4047
4048 Samwestfall	小行星4048
4049 Noragal'	小行星4049
405 Thia	小行星405
4050 Mebailey	小行星4050
4052 Crovisier	小行星4052
4051 Hatanaka	小行星4051
4053 Cherkasov	小行星4053
4054 Turnov	小行星4054
4056 Timwarner	小行星4056
4058 Cecilgreen	小行星4058
4059 Balder	小行星4059
406 Erna	小行星406
4061 Martelli	小行星4061
4062 Schiaparelli	小行星4062
4064 Marjorie	小行星4064
4066 Haapavesi	小行星4066
4067 Mikhel'son	小行星4067
4069 Blakee	小行星4069
4071 Rostovdon	小行星4071
407 Arachne	小行星407
4072 Yayoi	小行星4072
4073 Ruianzhongxue	小行星4073
3701 Purkyně	小行星3701
4074 Sharkov	小行星4074
4075 Sviridov	小行星4075
4076 Dörffel	小行星4076
4077 Asuka	小行星4077
4078 Polakis	小行星4078
4079 Britten	小行星4079
4080 Galinskij	小行星4080
408 Fama	小行星408
4081 Tippett	小行星4081
4082 Swann	小行星4082
4083 Jody	小行星4083
4084 Hollis	小行星4084
4085 Weir	小行星4085
4087 Pärt	小行星4087
4088 Baggesen	小行星4088
4089 Galbraith	小行星4089
4090 Říšehvězd	小行星4090
409 Aspasia	小行星409
4091 Lowe	小行星4091
4092 Tyr	小行星4092
4093 Bennett	小行星4093
4094 Aoshima	小行星4094
4095 Ishizuchisan	小行星4095
4096 Kushiro	小行星4096
4097 Tsurugisan	小行星4097
4098 Thraen	小行星4098
4099 Wiggins	小行星4099
4100 Sumiko	小行星4100
Billy Hughes	比利·休斯 (澳大利亚)
4102 Gergana	小行星4102
4101 Ruikou	小行星4101
4103 Chahine	小行星4103
4104 Alu	小行星4104
4105 Tsia	小行星4105
4106 Nada	小行星4106
4107 Rufino	小行星4107
4108 Rakos	小行星4108
4109 Anokhin	小行星4109
411 Xanthe	小行星411
4110 Keats	小行星4110
4111 Lamy	小行星4111
4112 Hrabal	小行星4112
4113 Rascana	小行星4113
4114 Jasnorzewska	小行星4114
4115 Peternorton	小行星4115
4116 Elachi	小行星4116
4117 Wilke	小行星4117
4118 Sveta	小行星4118
4119 Miles	小行星4119
412 Elisabetha	小行星412
4120 Denoyelle	小行星4120
4121 Carlin	小行星4121
4122 Ferrari	小行星4122
4123 Tarsila	小行星4123
4124 Herriot	小行星4124
4125 Lew Allen	小行星4125
4126 Mashu	小行星4126
4127 Kyogoku	小行星4127
4128 UKSTU	小行星4128
4129 Richelen	小行星4129
413 Edburga	小行星413
4130 Ramanujan	小行星4130
4131 Stasik	小行星4131
4132 Bartók	小行星4132
4133 Heureka	小行星4133
4134 Schütz	小行星4134
4135 Svetlanov	小行星4135
4136 Artmane	小行星4136
4137 Crabtree	小行星4137
4139 Ul'yanin	小行星4139
4140 Branham	小行星4140
Raneb	拉内布
4141 Nintanlena	小行星4141
4142 Dersu-Uzala	小行星4142
Jean Dausset	让·多塞
4144 Vladvasil'ev	小行星4144
4145 Maximova	小行星4145
4146 Rudolfinum	小行星4146
4147 Lennon	小行星4147
4148 McCartney	小行星4148
Plaek Pibulsonggram	銮披汶·颂堪
4149 Harrison	小行星4149
415 Palatia	小行星415
4150 Starr	小行星4150
4151 Alanhale	小行星4151
4152 Weber	小行星4152
4153 Roburnham	小行星4153
4154 Rumsey	小行星4154
4155 Watanabe	小行星4155
4156 Okadanoboru	小行星4156
4157 Izu	小行星4157
4158 Santini	小行星4158
4159 Freeman	小行星4159
416 Vaticana	小行星416
4160 Sabrina-John	小行星4160
4161 Amasis	小行星4161
4162 SAF	小行星4162
4163 Saaremaa	小行星4163
4164 Shilov	小行星4164
4165 Didkovskij	小行星4165
4166 Pontryagin	小行星4166
4167 Riemann	小行星4167
4168 Millan	小行星4168
4169 Celsius	小行星4169
417 Suevia	小行星417
4170 Semmelweis	小行星4170
4171 Carrasco	小行星4171
4172 Rochefort	小行星4172
4173 Thicksten	小行星4173
4174 Pikulia	小行星4174
4175 Billbaum	小行星4175
4176 Sudek	小行星4176
Fay Bainter	菲·貝恩特
(4178) 1988 EO1	小行星4178
4177 Kohman	小行星4177
Tanga, Tanzania	坦噶
418 Alemannia	小行星418
4181 Kivi	小行星4181
4182 Mount Locke	小行星4182
4184 Berdyayev	小行星4184
4185 Phystech	小行星4185
4186 Tamashima	小行星4186
4187 Shulnazaria	小行星4187
4188 Kitezh	小行星4188
4189 Sayany	小行星4189
George 2k ilẹ̀ Gríìsì	乔治二世 (希腊)
4190 Kvasnica	小行星4190
419 Aurelia	小行星419
4191 Assesse	小行星4191
4192 Breysacher	小行星4192
4193 Salanave	小行星4193
4194 Sweitzer	小行星4194
4195 Esambaev	小行星4195
4196 Shuya	小行星4196
4198 Panthera	小行星4198
4199 Andreev	小行星4199
420 Bertholda	小行星420
4200 Shizukagozen	小行星4200
4201 Orosz	小行星4201
4202 Minitti	小行星4202
4203 Brucato	小行星4203
4204 Barsig	小行星4204
4206 Verulamium	小行星4206
4207 Chernova	小行星4207
4208 Kiselev	小行星4208
4209 Briggs	小行星4209
4210 Isobelthompson	小行星4210
421 Zähringia	小行星421
4211 Rosniblett	小行星4211
4212 Sansyu-Asuke	小行星4212
4213 Njord	小行星4213
4214 Veralynn	小行星4214
4215 Kamo	小行星4215
4216 Neunkirchen	小行星4216
4217 Engelhardt	小行星4217
Maximilian Schell	马克西米利安·谢尔
4218 Demottoni	小行星4218
4219 Nakamura	小行星4219
4220 Flood	小行星4220
4221 Picasso	小行星4221
4222 Nancita	小行星4222
Emmanuel Levinas	伊曼紐爾·列維納斯
4223 Shikoku	小行星4223
4224 Susa	小行星4224
4225 Hobart	小行星4225
4226 Damiaan	小行星4226
4227 Kaali	小行星4227
4228 Nemiro	小行星4228
4229 Plevitskaya	小行星4229
4230 van den Bergh	小行星4230
4231 Fireman	小行星4231
4232 Aparicio	小行星4232
4233 Pal'chikov	小行星4233
4234 Evtushenko	小行星4234
4235 Tatishchev	小行星4235
4236 Lidov	小行星4236
4237 Raushenbakh	小行星4237
4238 Audrey	小行星4238
4239 Goodman	小行星4239
4240 Grün	小行星4240
424 Gratia	小行星424
4241 Pappalardo	小行星4241
4242 Brecher	小行星4242
4243 Nankivell	小行星4243
4244 Zakharchenko	小行星4244
4245 Nairc	小行星4245
4246 Telemann	小行星4246
4247 Grahamsmith	小行星4247
4248 Ranald	小行星4248
4249 Křemže	小行星4249
Georges Charpak	乔治·夏帕克
425 Cornelia	小行星425
4250 Perun	小行星4250
4252 Godwin	小行星4252
4251 Kavasch	小行星4251
Edward Victor Appleton	爱德华·阿普尔顿
4253 Märker	小行星4253
4254 Kamél	小行星4254
John Robert Schrieffer	约翰·施里弗
4255 Spacewatch	小行星4255
4256 Kagamigawa	小行星4256
Jack Steinberger	杰克·施泰因贝格尔
4258 Ryazanov	小行星4258
Albert Fert	阿尔贝·费尔
426 Hippo	小行星426
4260 Yanai	小行星4260
(4262) 1989 CO	小行星4262
4261 Gekko	小行星4261
4263 Abashiri	小行星4263
4264 Karljosephine	小行星4264
4265 Kani	小行星4265
4266 Waltari	小行星4266
4267 Basner	小行星4267
4268 Grebenikov	小行星4268
4269 Bogado	小行星4269
427 Galene	小行星427
4270 Juanvictoria	小行星4270
4272 Entsuji	小行星4272
4271 Novosibirsk	小行星4271
4274 Karamanov	小行星4274
4273 Dunhuang	小行星4273
4276 Clifford	小行星4276
4277 Holubov	小行星4277
4278 Harvey	小行星4278
4279 De Gasparis	小行星4279
Agbègbè Singida	辛吉達區
4280 Simonenko	小行星4280
Agbègbè Rukwa	魯夸區
4281 Pounds	小行星4281
Agbègbè Tabora	塔波拉區
4282 Endate	小行星4282
Agbègbè Shinyanga	欣延加區
4283 Stöffler	小行星4283
4284 Kaho	小行星4284
4285 Hulkower	小行星4285
4286 Rubtsov	小行星4286
4288 Tokyotech	小行星4288
4289 Biwako	小行星4289
429 Lotis	小行星429
4290 Heisei	小行星4290
4291 Kodaihasu	小行星4291
4292 Aoba	小行星4292
4293 Masumi	小行星4293
4294 Horatius	小行星4294
4295 Wisse	小行星4295
4296 van Woerkom	小行星4296
4297 Eichhorn	小行星4297
4298 Jorgenúnez	小行星4298
4299 WIYN	小行星4299
430 Hybris	小行星430
4300 Marg Edmondson	小行星4300
4301 Boyden	小行星4301
4302 Markeev	小行星4302
4303 Savitskij	小行星4303
4304 Geichenko	小行星4304
4305 Clapton	小行星4305
4306 Dunaevskij	小行星4306
4307 Cherepashchuk	小行星4307
4308 Magarach	小行星4308
4309 Marvin	小行星4309
4310 Strömholm	小行星4310
4311 Zguridi	小行星4311
4312 Knacke	小行星4312
Makarios III	马卡里奥斯三世
4313 Bouchet	小行星4313
(4314) 1979 ML3	小行星4314
4315 Pronik	小行星4315
4316 Babinkova	小行星4316
4317 Garibaldi	小行星4317
4319 Jackierobinson	小行星4319
432 Pythia	小行星432
4320 Jarosewich	小行星4320
4321 Zero	小行星4321
4322 Billjackson	小行星4322
(4324) 1981 YA1	小行星4324
4323 Hortulus	小行星4323
4325 Guest	小行星4325
4326 McNally	小行星4326
4327 Ries	小行星4327
4328 Valina	小行星4328
(4329) 1982 SX2	小行星4329
4330 Vivaldi	小行星4330
4331 Hubbard	小行星4331
4332 Milton	小行星4332
4333 Sinton	小行星4333
4334 Foo	小行星4334
4335 Verona	小行星4335
4336 Jasniewicz	小行星4336
4337 Arecibo	小行星4337
4338 Velez	小行星4338
4339 Almamater	小行星4339
ISO 639-6	ISO 639-6
4340 Dence	小行星4340
434 Hungaria	小行星434
4342 Freud	小行星4342
4343 Tetsuya	小行星4343
4345 Rachmaninoff	小行星4345
4346 Whitney	小行星4346
4347 Reger	小行星4347
4349 Tibúrcio	小行星4349
435 Ella	小行星435
4350 Shibecha	小行星4350
4351 Nobuhisa	小行星4351
4352 Kyoto	小行星4352
4353 Onizaki	小行星4353
4354 Euclides	小行星4354
4355 Memphis	小行星4355
4356 Marathon	小行星4356
4357 Korinthos	小行星4357
4358 Lynn	小行星4358
Elinor Ostrom	埃莉诺·奥斯特罗姆
4360 Xuyi	小行星4360
436 Patricia	小行星436
4361 Nezhdanova	小行星4361
4362 Carlisle	小行星4362
4363 Sergej	小行星4363
4364 Shkodrov	小行星4364
4365 Ivanova	小行星4365
4366 Venikagan	小行星4366
4367 Meech	小行星4367
4368 Pillmore	小行星4368
4369 Seifert	小行星4369
437 Rhodia	小行星437
4370 Dickens	小行星4370
4371 Fyodorov	小行星4371
4372 Quincy	小行星4372
4373 Crespo	小行星4373
4374 Tadamori	小行星4374
Alcide De Gasperi	阿爾契德·加斯貝利
4375 Kiyomori	小行星4375
4378 Voigt	小行星4378
4379 Snelling	小行星4379
438 Zeuxo	小行星438
4380 Geyer	小行星4380
4381 Uenohara	小行星4381
4382 Stravinsky	小行星4382
(4384) 1990 AA	小行星4384
4383 Suruga	小行星4383
4385 Elsässer	小行星4385
4386 Lüst	小行星4386
4387 Tanaka	小行星4387
4388 Jürgenstock	小行星4388
4389 Durbin	小行星4389
