阿非利加洲	非洲
第一次世界大戰	第一次世界大战
第二次世界大戰	第二次世界大战
烏邦土	Ubuntu
數學	数学
拉丁語	拉丁语
巴林	巴林
塞爾維亞	塞尔维亚
月	月球
澳大利亞	澳大利亚
物理	物理学
阿根廷	阿根廷
秘魯	秘鲁
生物學	生物学
朝鮮民主主義人民共和國	朝鲜民主主义人民共和国
柬埔寨	柬埔寨
古蘭經	古兰经
恐龍	恐龙
回教	伊斯兰教
大英百科	大英百科全书
歐羅巴聯盟	欧洲联盟
朋友	友情
馬里亞納海溝	马里亚纳海沟
珠穆朗瑪峰	珠穆朗瑪峰
拿破崙一世	拿破仑一世
恆星	恒星
日	太阳
巴斯特	路易·巴斯德
光年	光年
大洋洲	大洋洲
太陽系	太阳系
氫	氢
氦	氦
維基共享	维基共享资源
鋰	锂
鈹	铍
日（曆法）	日
東帝汶	东帝汶
夜	晚上
黑洞	黑洞
穀神星	穀神星
妊神星	妊神星
鳥神星	鸟神星
鬩神星	阋神星
硼	硼
碳	碳
氮	氮
氧	氧
行星	行星
威尼斯	威尼斯
火影忍者	火影忍者
莫斯科	莫斯科
氟	氟
義大利語	意大利语
氖	氖
鈉	钠
鎂	镁
鋁	铝
紐西蘭	新西兰
印度	印度
硅	硅
磷	磷
鐵	铁
硫	硫
東	東
氯	氯
巴布亞新幾內亞	巴布亚新几内亚
莎士比亞	威廉·莎士比亚
氬	氩
鉀	钾
鈣	钙
鉛	铅
蒙古國	蒙古国
鈧	钪
鈦	钛
委內瑞拉	委內瑞拉
成吉思汗	成吉思汗
釩	钒
鉻	铬
阿姆斯特丹	阿姆斯特丹
動物	动物
錳	锰
哥倫比亞	哥伦比亚
鈷	钴
鎢	钨
鎳	镍
佛教	佛教
玻利維亞	玻利維亞
銅	铜
千里達及托巴哥	千里達及托巴哥
植物	植物
鋅	锌
真菌	真菌
牙買加	牙买加
夏威夷	夏威夷州
海地	海地
伊朗	伊朗
伊拉克	伊拉克
哥斯大黎加	哥斯达黎加
以色列	以色列
巴拿馬	巴拿马
科威特	科威特
老撾	老挝
馬爾地夫	马尔代夫
亞美利加洲	美洲
馬來西亞	马来西亚
緬甸	缅甸
尼泊爾	尼泊尔
阿曼	阿曼
巴基斯坦	巴基斯坦
卡達國	卡塔尔
沙特阿拉伯	沙特阿拉伯
斯里蘭卡	斯里蘭卡
斯大林	斯大林
柏拉圖	柏拉图
鎵	镓
神奇寶貝	口袋妖怪系列
中華民國	中華民國
鍺	锗
泰國	泰国
砒	砷
硒	硒
溴	溴
鉑	铂
越南	越南
大韓民國	大韩民国
氪	氪
阿富汗	阿富汗
江南風	江南Style
銣	铷
金	金
蘇彝士運河	苏伊士运河
孟加拉國	孟加拉国
蘇格拉底	苏格拉底
安哥拉	安哥拉
不丹	不丹
汶萊	文莱
汞	汞
菲律賓	菲律宾
中非	中非共和國
鉈	铊
南極	南极
北極	北极点
牛頓	艾萨克·牛顿
鍶	锶
釔	钇
鉍	铋
尚比亞	赞比亚
津巴布韋	辛巴威
北京市	北京市
南蘇丹	南蘇丹
海參崴	海參崴
波札那	波札那
剛果民主共和國	刚果民主共和国
吉布提	吉布提
加蓬	加蓬
甘地	圣雄甘地
利比亞	利比亚
馬達加斯加	马达加斯加
摩洛哥	摩洛哥
莫桑比克	莫桑比克
納米比亞	纳米比亚
尼日利亞	奈及利亞
烏干達	乌干达
索馬里	索马里
凱撒	尤利烏斯·凱撒
蘇丹	苏丹共和国
斯威士蘭	斯威士兰
鍀	锝
天演	演化
聯合國	联合国
地理學	地理学
腦	脑
布拉格	布拉格
銀	銀
錫	锡
鈾	鈾
鈈	钚
碘	碘
氙	氙
銫	铯
鐳	镭
氡	氡
賈坎德邦	贾坎德邦
耶路撒冷	耶路撒冷
印度洋	印度洋
科索沃	科索沃
蕭邦	弗雷德里克·肖邦
Category:類	Category:頁面分類
帕斯卡	布莱兹·帕斯卡
冬	冬季
春	春季
夏	夏季
秋	秋季
薩達姆·海珊	萨达姆·侯赛因
拉登	奥萨马·本·拉登
西班牙語	西班牙语
巴赫	约翰·塞巴斯蒂安·巴赫
泉幣	貨幣
奧古斯都	奥古斯都
諾基亞	诺基亚
德克薩斯州	德克萨斯州
布宜諾斯艾利斯	布宜諾斯艾利斯
東京都	東京都
密西西比河	密西西比河
錫金	锡金
尼爾杭思朗	尼尔·阿姆斯特朗
斯德哥爾摩	斯德哥尔摩
墓誌	墓誌銘
里加	里加
聖經	聖經
金邊	金边
真耶穌教會	真耶稣教会
英語	英语
曼谷	曼谷
臺北市	臺北市
鎇	镅
康賽普西翁	康塞普西翁 (智利)
緬尼托巴	曼尼托巴
孔斯科沃拉	孔斯科沃拉
公元二千年	2000年
二〇〇三年	2003年
二〇〇二年	2002年
二〇〇一年	2001年
二〇一二年	2012年
二〇一一年	2011年
二〇一〇年	2010年
二〇〇九年	2009年
二氧化碳	二氧化碳
二〇一三年	2013年
二〇一四年	2014年
二〇一五年	2015年
二〇〇八年	2008年
二〇〇四年	2004年
二〇〇五年	2005年
二〇〇六年	2006年
二〇〇七年	2007年
一氧化碳	一氧化碳
戴高樂	夏爾·戴高樂
一九九二年	1992年
一九九一年	1991年
一九九〇年	1990年
一九九三年	1993年
一九九四年	1994年
一九九五年	1995年
一九九六年	1996年
可縮放矢量圖形	可縮放向量圖形
萊比錫	莱比锡
一九九七年	1997年
一九九八年	1998年
一九九九年	1999年
食物	食物
光速	光速
公曆一月一日	1月1日
公曆一月二日	1月2日
公曆一月三日	1月3日
公曆一月四日	1月4日
矮行星	矮行星
公曆一月五日	1月5日
公曆一月六日	1月6日
電子	电子
公曆一月七日	1月7日
公曆一月八日	1月8日
公曆一月九日	1月9日
公曆一月十日	1月10日
公曆一月十一日	1月11日
公曆一月十二日	1月12日
公曆一月十三日	1月13日
公曆一月十四日	1月14日
公曆一月十五日	1月15日
工業革命	工业革命
苯	苯
微軟	微软
質子	質子
庫魯夫	库鲁夫
公曆二月五日	2月5日
公曆二月八日	2月8日
化學	化學
中子	中子
公曆二月廿九日	2月29日
公曆三月十四日	3月14日
一九八九年	1989年
一九八八年	1988年
一九八七年	1987年
一九八六年	1986年
一九八五年	1985年
一九八四年	1984年
一九八三年	1983年
一九八二年	1982年
一九八一年	1981年
一九八〇年	1980年
一九七〇年	1970年
一九七一年	1971年
一九七二年	1972年
一九七三年	1973年
一九七四年	1974年
一九七五年	1975年
一九七六年	1976年
一九七七年	1977年
一九七八年	1978年
一九七九年	1979年
一九六九年	1969年
公曆四月五日	4月5日
衛星	衛星
公曆五月四日	5月4日
土衛六	土卫六
一九六八年	1968年
一九六七年	1967年
一九六六年	1966年
一九六五年	1965年
一九六四年	1964年
公曆六月廿日	6月20日
公曆七月廿三日	7月23日
足球	足球
一九六三年	1963年
一九六二年	1962年
公曆九月十日	9月10日
公曆十二月卅一日	12月31日
公曆十月十日	10月10日
灶神星	灶神星
查理曼	查理大帝
木衛一	木卫一
木衛四	木卫四
木衛二	木卫二
木衛三	木卫三
火	火
新南威爾士州	新南威爾士州
土衛二	土卫二
天衛三	天卫三
海衛一	海卫一
雅加達	雅加达
一九六一年	1961年
Category:模板	Category:維基百科模板
一九六〇年	1960年
小行星	小行星
日食	日食
二進制	二进制
阿斯圖里亞斯	阿斯图里亚斯
維基大典:沙盒	Wikipedia:沙盒
卡爾梅克共和國	卡尔梅克共和国
代數學	代数
地圖	地图
阿拉貢自治區	阿拉贡自治区
前卅三年	前33年
硫酸	硫酸
同海機場	同海機場
Category:大韓民國紀事	Category:韓國歷史
Category:日本史	Category:日本历史
伯力	伯力
Category:越南史	Category:越南歷史
孔子	孔子
莎拉伯恩哈特	莎拉·伯恩哈特
Category:伊拉克史	Category:伊拉克历史
南加州大学	南加州大学
Category:數學	Category:数学
Category:蒙古史	Category:蒙古国历史
Category:人造語言	Category:人工語言
文藝復興	文艺复兴
歐元	欧元
美金	美元
地中海	地中海
遼	辽朝
杭州市	杭州市
基督教	基督教
Template:亞洲	Template:亞洲
Template:然也	Template:Support
金朝	金朝
金章宗	金章宗
柏林圍牆	柏林圍牆
稻	稻
大陸	洲
京	首都
Template:門	Template:Portal
一九四八年	1948年
艾爾瑪善鎮	艾爾瑪善鎮
黃現璠	黄现璠
一九四五年	1945年
一九五八年	1958年
日語	日语
百科全書	百科全书
維基大典:卷首	Wikipedia:首页
一九五九年	1959年
Template:正典	Template:Good article
電晶體	晶体管
棒球	棒球
奧林匹克運動會	奥林匹克运动会
長江	长江
喜瑪拉雅山	喜马拉雅山脉
落磯山	洛磯山脈
韃靼斯坦共和國	鞑靼斯坦共和国
一二六三年	1263年
古斯巴達	斯巴达
埃斯特雷馬杜拉	埃斯特雷马杜拉
安達盧西亞	安達魯西亞
麥加	麥加
毛澤東	毛泽东
西安市	西安市
拉薩市	拉萨市
哲學	哲学
Category:速刪候	Category:快速删除候选
茶	茶
馬可·波羅	马可·波罗
一三六三年	1363年
共產主義	共产主义
一三六八年	1368年
迦太基	迦太基
大英博物館	大英博物馆
巴拉頓湖	巴拉顿湖
蒙庇利埃	蒙彼利埃
Category:天文	Category:天文学
吉他	吉他
同性戀	同性戀
漢堡包	漢堡 (食物)
夸克	夸克
高斯	卡爾·弗里德里希·高斯
一六四四年	1644年
一六四五年	1645年
Category:恒星	Category:恒星
李白	李白
伽羅華	埃瓦里斯特·伽罗瓦
政府	政府
秦始皇帝	秦始皇
秦二世皇帝	秦二世
秦王子嬰	子婴
中東	中东
漢	汉朝
漢太祖高皇帝	刘邦
漢孝惠皇帝	汉惠帝
漢少帝恭	西汉前少帝
漢少帝弘	劉弘
漢太宗孝文皇帝	汉文帝
漢孝景皇帝	汉景帝
漢世宗孝武皇帝	汉武帝
聖女貞德	聖女貞德
漢孝昭皇帝	汉昭帝
漢廢帝昌邑王	刘贺
漢中宗孝宣皇帝	汉宣帝
漢孝元皇帝	汉元帝
漢孝成皇帝	汉成帝
漢孝哀皇帝	汉哀帝
漢孝平皇帝	汉平帝
漢孺子嬰	孺子婴
王莽	王莽
意理	意識形態
帝國主義	帝国主义
漢更始帝	更始帝
漢世祖光武皇帝	汉光武帝
共和	共和制
漢顯宗孝明皇帝	汉明帝
國	國 (政治)
漢肅宗孝章皇帝	汉章帝
漢孝和皇帝	汉和帝
漢孝殤皇帝	汉殇帝
漢孝安皇帝	汉安帝
漢少帝懿	刘懿
漢孝順皇帝	汉顺帝
漢孝沖皇帝	汉冲帝
漢孝質皇帝	汉质帝
漢孝桓皇帝	汉桓帝
漢孝靈皇帝	汉灵帝
漢少帝辯	劉辯
元	元朝
漢孝獻皇帝	汉献帝
德意志第三帝國	納粹德國
哥倫布	克里斯托弗·哥伦布
庫克船長	詹姆斯·庫克
科爾蒂斯	埃爾南·科爾特斯
鄭和	鄭和
大堡礁	大堡礁
巴拿馬運河	巴拿马运河
晉	晋朝
黃河	黄河
晉武帝	司馬炎
司馬倫	司马伦
晉元帝	晉元帝
隋	隋朝
西夏	西夏
脫氧核酸	脱氧核糖核酸
夏仁宗	夏仁宗
趙宋	宋朝
宋太祖	赵匡胤
宋徽宗	宋徽宗
宋高宗	宋高宗
宋孝宗	宋孝宗
宋光宗	宋光宗
宋寧宗	宋宁宗
宋理宗	宋理宗
宋度宗	宋度宗
宋恭帝	宋恭帝
宋端宗	宋端宗
宋帝昺	赵昺
歐拉	萊昂哈德·歐拉
一七七四年	1774年
一七七五年	1775年
一七七六年	1776年
一八六六年	1866年
一八六七年	1867年
一八六八年	1868年
晝	早晨
拿破崙二世	拿破仑二世
砒霜	三氧化二砷
法律	法律
一七九四年	1794年
世界人權宣言	世界人权宣言
一七九五年	1795年
一七九六年	1796年
漢語	汉语
細胞	细胞
全球暖化	全球变暖
禪宗	禅宗
鼠標	鼠标
聖奧思定	希波的奥古斯丁
精靈	小仙子
朊	蛋白质
理則	逻辑
龍捲風	龍捲風
幾何	几何学
語法	语法
熱帶氣旋	熱帶氣旋
計學	经济学
語言學	语言学
文字	文字
阿拉伯字	阿拉伯字母
漢字	汉字
西里爾字母	西里尔字母
孫子兵法	孙子兵法
Category:音樂	Category:音乐
紅樓夢	红楼梦
Category:法國史	Category:法国历史
哈利波特	哈利·波特
放手銃	自慰
法文維基大典	法語維基百科
死刑	死刑
人權	人权
乳	乳
山	山
沙漠	荒漠
孫文	孫中山
薩拉丁	萨拉丁
阿育王	阿育王
阿克巴大帝	阿克巴
香港	香港
元天順帝	天順帝
韓戰	朝鲜战争
南北戰爭	南北战争
首爾特別市	首爾
上海市	上海市
清	清朝
越戰	越南战争
歐几里得	欧几里得
巴斯克語	巴斯克語
星座	星座
拉脫維亞語	拉脱维亚语
原子	原子
宗教	宗教
朝鮮語	朝鮮語
笛卡兒	勒内·笛卡儿
官話	官话
越南語	越南语
猶太教	犹太教
老子	老子
電鼠	皮卡丘
尼采	弗里德里希·尼采
司馬遷	司馬遷
斯密亞丹	亚当·斯密
朱熹	朱熹
廷巴克圖	廷巴克图
洋	洋
阿奎那	托马斯·阿奎那
英王維多利亞	维多利亚 (英国君主)
釋迦牟尼	释迦牟尼
馬丁·路德	馬丁·路德
儒家	儒家
腹	腹
陰脈	静脉
福克蘭群島	福克兰群岛
陽脈	动脉
唐	唐朝
威爾斯王妃黛安娜	威爾斯王妃戴安娜
唐高祖	李渊
唐太宗	唐太宗
唐玄宗	唐玄宗
唐德宗	唐德宗
唐順宗	唐顺宗
唐憲宗	唐宪宗
唐敬宗	唐敬宗
唐宣宗	唐宣宗
小學	小学
明	明朝
明太祖	朱元璋
明惠宗	建文帝
明成祖	明成祖
明仁宗	明仁宗
明宣宗	明宣宗
明英宗	明英宗
明代宗	景泰帝
明憲宗	明宪宗
明孝宗	明孝宗
明武宗	明武宗
明世宗	明世宗
明穆宗	明穆宗
明神宗	明神宗
明光宗	明光宗
明熹宗	明熹宗
明思宗	崇禎帝
電漿	等离子体
北斗七星	北斗七星
金正日	金正日
元素週期表	元素周期表
自殺	自殺
九一一事件	九一一袭击事件
電話	电话
梵語	梵语
化合物	化合物
算術	算术
食鹽	食盐
化學元素	化學元素
方程	方程
映射	函数
角	角
分子	分子
加速度	加速度
能量	能量
弈	围棋
金屬	金属
氣體	气体
液體	液体
固體	固体
船舶	船
農	农业
速度	速度
納米科技	纳米技术
勾股定理	勾股定理
證明	證明
數	数
複數	复数 (数学)
公斤	千克
公尺	米 (单位)
大麥	大麦
繪畫	绘画
華爾街	华尔街
美國總統	美国总统
東南亞	东南亚
瀋陽市	沈阳市
重慶市	重庆市
天津市	天津市
武漢市	武汉市
史前	史前時代
古埃及	古埃及
白令海峽	白令海峡
古希臘	古希腊
傑弗遜	托马斯·杰斐逊
希臘文維基大典	希臘語維基百科
麥	小麦
格里曆	公历
拉丁文維基大典	拉丁語維基百科
麻雀 (棋牌)	麻将
鹽	盐
牛頓（單位）	牛頓 (單位)
度量衡	量度
萬國公制	国际单位制
集論	集合论
哈里發塔	哈里發塔
長城	长城
整數	整数
球	球面
大憲章	大憲章
阿兹特克	阿茲特克
上塞納省	上塞纳省
東羅馬帝國	拜占庭帝国
奧斯曼帝國	奥斯曼帝国
國內生產總值	国内生产总值
銃	枪械
伊比利半島	伊比利亚半岛
坦克	坦克
實數	实数
楈枒	椰
桃	桃
湘語	湘语
冰酪	冰淇淋
文胸	胸罩
阿拉伯語	阿拉伯语
本州	本州
四國	四國
地中海氣候	地中海式气候
科西嘉	科西嘉岛
頂級域名	頂級域
斯洛文尼亞語維基大典	斯洛文尼亞語維基百科
百度	百度
澳門	澳門
尖沙咀	尖沙咀
土衛一	土卫一
土衛四	土卫四
土衛三	土卫三
土衛五	土卫五
廣東省	广东省
廣西壯族自治區	广西壮族自治区
蘇聯	苏联
香港中文大學	香港中文大學
亡神星	亡神星
塞德娜	小行星90377
孟德斯鳩	孟德斯鸠
青馬大橋	青馬大橋
維基大典:卓著	Wikipedia:特色条目
Template:Link FA	Template:Link FA
維基大典:會館	Wikipedia:互助客栈
釜山廣域市	釜山廣域市
廣州市	广州市
蔣中正	蔣中正
南京市	南京市
君士坦丁堡	君士坦丁堡
首爾地鐵	韓國首都圈電鐵
北京大學	北京大学
清華大學	清华大学
烏魯木齊市	乌鲁木齐市
江蘇省	江苏省
浙江省	浙江省
鄧小平	邓小平
新好男孩	後街男孩
西藏	藏区
西藏自治區	西藏自治区
圓	圆
歐氏幾何	欧几里得空间
周恩來	周恩来
中國共產黨	中国共产党
馮諾曼	约翰·冯·诺伊曼
偽基大典	偽基百科
太平山	太平山 (香港)
公理	公理
清聖祖	康熙帝
朝鮮文維基大典	朝鮮語維基百科
檀香山	檀香山
紋章	纹章学
曼徹斯特聯足球俱樂部	曼徹斯特聯足球俱樂部
平壤直轄市	平壤
模 (代數)	模
訓民正音	訓民正音
九	9
清高宗	乾隆帝
司徒華	司徒華
蕭伯納	萧伯纳
黑龍江省	黑龙江省
香港島	香港島
鹼金屬	碱金属
非金屬	非金属元素
鹵素	卤素
稀有氣體	稀有气体
維基大典:正典	Wikipedia:優良條目
四川省	四川省
舊約	旧约圣经
聖誕節	圣诞节
三角形	三角形
印歐語系	印欧语系
穆阿邁爾·格達費	穆阿迈尔·卡扎菲
獨島	獨島
江南區	江南區 (首爾)
大田廣域市	大田广域市
大邱廣域市	大邱廣域市
仁川國際機場	仁川國際機場
仁川廣域市	仁川廣域市
京畿道	京畿道
自然數	自然数
萬國音標字	國際音標
河北省	河北省
革奴自由文檔許可協議	GNU自由文档许可证
蛋撻	蛋撻
臺灣	臺灣
紐約	紐約 (消歧義)
汝矣島	汝矣島
公元元年	1年
魯迅	鲁迅
八	8
馬德堡半球	馬德堡半球
主禱文	主禱文
蒜	蒜
白	白色
黑	黑色
六九八年	698年
巴爾幹半島	巴尔干半岛
七二七年	727年
墨索里尼	贝尼托·墨索里尼
四方	方位
十	10
原子序	原子序数
九一八年	918年
公元百年	100年
五七〇年	570年
四時	季节
二二二年	222年
利物浦	利物浦
鐵達尼號	泰坦尼克号
五五二年	552年
同位素	同位素
蜚蠊	蟑螂
功率	功率
螢	萤科
索布語	索布语
一八一二年戰爭	1812年战争
頂點	顶点
大理國	大理国
朝鮮正祖	朝鮮正祖
福岡市	福岡市
建城	罗马建城纪年
日本海	日本海
宮古列島	宮古群島
中亞	中亚
琉球國	琉球国
伽倻	伽倻
朝鮮國	李氏朝鲜
高麗國	高麗 (918年－1392年)
大韓帝國	大韓帝國
渤海國	渤海国
高句麗	高句丽
百濟	百济
新羅	新罗
扶餘	扶餘國
奧匈帝國	奥匈帝国
吸血鬼日記	吸血鬼日记
馬雅	瑪雅文明
印加國	印加帝國
縣	县
韓非子	韩非
錦州市	锦州市
導數	导数
黃帝	黄帝
釣魚臺列嶼	釣魚臺列嶼
中國	中國
成都市	成都市
咖啡廳	咖啡店
蒲公英	蒲公英
雪豹	雪豹
白話維基大典	中文维基百科
二二一年	221年
五四三年	543年
五三六年	536年
二三〇年	230年
二〇二年	202年
一九二年	192年
總統	總統
五五五年	555年
五七一年	571年
滿洲國	满洲国
二三一年	231年
二二五年	225年
三一一年	311年
二二〇年	220年
三一三年	313年
五八七年	587年
五四八年	548年
五四九年	549年
五五一年	551年
五五七年	557年
兄弟	兄弟姊妹
二二三年	223年
二二四年	224年
二一九年	219年
大運河	大运河
五八九年	589年
七出三不去	七出三不去
華佗	华佗
黃宗羲	黄宗羲
三〇四年	304年
五五〇年	550年
五八六年	586年
五八八年	588年
五五四年	554年
二二九年	229年
五八三年	583年
二六五年	265年
二六三年	263年
五八五年	585年
五八二年	582年
五五六年	556年
四二〇年	420年
二八〇年	280年
五八一年	581年
五五八年	558年
國立臺灣大學	國立臺灣大學
國立中山大學	國立中山大學
東干語	东干语
客家語	客家语
切羅基語	切羅基語
羅素悖論	罗素悖论
五六九年	569年
贛語	贛語
爪哇語	爪哇語
司馬光	司马光
滿語	满语
弧度	弧度
五五三年	553年
三〇七年	307年
五八四年	584年
杜甫	杜甫
人口	人口
瓦爾帕萊索	瓦尔帕莱索
青銅	青铜
情報及特殊使命局	以色列情報及特殊使命局
尼亞加拉瀑布	尼亚加拉瀑布
吳語	吴语
昭和天皇	昭和天皇
基地組織	基地组织
穆罕默德二世	穆罕默德二世 (奥斯曼帝国)
希臘神話	希腊神话
秦	秦国
新疆維吾爾族自治區	新疆维吾尔自治区
郵局	郵政局
萬國首都全覽	各国首都列表
周	周朝
形而上學	形而上学
白宮	白宮
北海道	北海道
科科斯（基林）群島	科科斯（基林）群島
胡志明	胡志明
蘇軾	苏轼
明尼阿波利斯	明尼阿波利斯
集	集合 (数学)
順化市	順化市
閩東語	閩東語
閩南語	闽南语
離子	离子
壯族	壮族
南斯拉夫	南斯拉夫
長毛象	猛犸象
四邊形	四邊形
甘蔗	甘蔗
三船敏郎	三船敏郎
文言	文言文
線	直线
甲烷	甲烷
孫武	孙武
中央情報局	中央情报局
語法學	语法学
聯合國安全理事會	联合国安全理事会
眼鏡	眼鏡
火柴	火柴
多邊形	多边形
市場	市场
南海	南海
朝鮮世宗	朝鮮世宗
俳句	俳句
黃海	黄海
今上天皇	明仁
橫濱市	横滨市
普魯士	普魯士
前四年	前4年
柳州市	柳州市
皇帝	皇帝
索契	索契
壓強	压强
龍貓	龙猫
线粒体	線粒體
號	号
吠陀	吠陀
橢圓	椭圆
杠杆	杠杆
自由亞洲電臺	自由亚洲电台
蟹	螃蟹
前九十年	前90年
酸鹼度	PH值
美國革命	美國獨立戰爭
安徽省	安徽省
前九十一年	前91年
忠清北道	忠清北道
江原道	江原道 (朝鮮八道)
忠清南道	忠清南道
內蒙古自治區	内蒙古自治区
金日成	金日成
慶尚南道	庆尚南道
慶尚北道	庆尚北道
全羅北道	全羅北道
全羅南道	全羅南道
濟州特別自治道	濟州特別自治道
鬱陵島	鬱陵島
巴別塔	巴別塔
蔚山廣域市	蔚山广域市
光州廣域市	光州廣域市
一元二次方程	一元二次方程
李斯特	弗朗茨·李斯特
美式足球	美式足球
前八十七年	前87年
哥德爾	库尔特·哥德尔
摩爾	摩尔 (单位)
華國鋒	华国锋
烷烴	烷烃
希爾伯特	大卫·希尔伯特
前九十五年	前95年
黃金分割	黄金分割率
福建省	福建省
班夫國家公園	班夫国家公园
查士丁尼一世	查士丁尼一世
前七十四年	前74年
慶州市	慶州市
安東市	安东市
尚州市	尚州市
阿貝爾·塔斯曼	阿贝尔·塔斯曼
海南省	海南省
功	功
漢語拼音	汉语拼音
莽原氣候	熱帶乾濕季氣候
甘肅省	甘肃省
蘇州市	苏州市
溫州市	温州市
無錫市	无锡市
湖州市	湖州市
紹興市	绍兴市
崑山市	昆山市
寧波市	宁波市
紙鳶	风筝
前二〇一年	前201年
前二〇二年	前202年
哈爾濱市	哈尔滨市
油	油
拓撲學	拓扑学
文身	刺青
金融學	金融
雲南省	云南省
多項式	多項式
國立虎尾科技大學	國立虎尾科技大學
山東省	山东省
中南半島	中南半島
天擇	自然选择
地質年代	地质年代
壟斷	垄断
河南省	河南省
遼寧省	辽宁省
席德	熙德
刳剔者傑克	開膛手傑克
前一五六年	前156年
列奧尼達一世	列奥尼达一世
前一三九年	前139年
前一二二年	前122年
前二〇六年	前206年
西爾門·拉什迪	薩爾曼·魯西迪
前二〇三年	前203年
化學鍵	化学键
槍	槍
前一四一年	前141年
僧院	僧院
白堊紀	白垩纪
前二〇九年	前209年
皮薩羅	法蘭西斯克·皮澤洛
點	点
骰子	骰子
吉林省	吉林省
東海	东海
前二三二年	前232年
湖南省	湖南省
青海省	青海省
前一九七年	前197年
前二〇七年	前207年
前一八八年	前188年
矢	箭
前二〇五年	前205年
鮨	寿司
前二〇八年	前208年
湖北省	湖北省
山西省	山西省
魔方	魔方
伊洛瓦底省	伊洛瓦底省
貴州省	贵州省
京都議定書	京都议定书
聯合國大會	联合国大会
乙酸	乙酸
安達曼海	安达曼海
前二〇四年	前204年
胡適	胡適
莊子	庄子
清孝欽顯皇后	慈禧太后
陝西省	陕西省
Template:共享類	Template:Commons category
三八三年	383年
德文維基大典	德語維基百科
拋物線	抛物线
尿素	尿素
平假名	平假名
波斯文維基大典	波斯語維基百科
質數	素数
五七二年	572年
南北朝	南北朝
劉宋	刘宋
吾世	我的世界
罷工	罷工
都羅山車驛	都羅山站
李舜臣汝諧	李舜臣 (朝鮮)
泰國地方	泰國行政區劃
中華人民共和國地方	中华人民共和国行政区划
日本都道府縣	日本行政區劃
氧化物	氧化物
合數	合数
因數	因數
口琴	口琴
朝鮮灣	西朝鲜湾
Template:Taxobox	Template:Taxobox
繩文時代	繩文時代
魔法少女小圓	魔法少女小圓
太極	太極
平行	平行
周宣王	周宣王
百家姓	百家姓
臺北城	臺北城
極品飛車	极品飞车系列
海鳥	海鳥
琉球語	琉球語
閩語	闽语
莆仙語	莆仙語
江西省	江西省
阿卜杜拉·本·阿卜杜勒-阿齊茲·沙特	阿卜杜拉·本·阿卜杜勒-阿齐兹·阿勒沙特
寧夏回族自治區	宁夏回族自治区
揚州市	扬州市
鎮江市	镇江市
哈薩克文維基大典	哈萨克语维基百科
嘉興市	嘉兴市
金華市	金华市
衢州市	衢州市
台州市	台州市
舟山市	舟山市
石家莊市	石家庄市
亞當與夏娃	亞當與夏娃
卡金納答	卡基纳达
珠海	珠海市
韶關市	韶关市
東莞市	东莞市
